traffic , was associated with , several irregularities regarding museum acquisitions
marble head , be by , fourth-century BC Greek sculptor Scopas
marble head , said , fourth-century BC sculptor Scopas
it , was , subsequently revealed
marble head , said , BC sculptor Scopas
Frel , died in , Frammolino 2006
donation scheme , been part of , plan
donation scheme , actually been part of , larger plan
donation scheme , actually been part of , larger plan concocted by Frel
donation scheme , actually been part of , plan concocted by Frel
World , 's Museum is , Boston
World , at , Richest Museum
donation scheme , been , actually part
donation scheme , actually been part of , plan
donation scheme , been part of , larger plan
donation scheme , actually been part of , plan concocted
donation scheme , been part of , plan concocted by Frel
donation scheme , actually been part of , larger plan concocted
donation scheme , been part of , larger plan concocted
donation scheme , been part of , plan concocted
donation scheme , been , part
donation scheme , been part of , larger plan concocted by Frel
http://articles.latimes.com/2006/may/13/local/me-frel13 , accessed , 17 July 2012
http://www.nytimes.com/1987/02/14/arts/a-curator-upsets-the-getty.html , accessed , 17 July 2012
http://www.artnet.com/magazineus/features/hoving/artful-tom-chapter-thirty-one6-12-09.asp , accessed , 25 May 2012
2 m marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , marble statue owned by J. Paul Getty Museum
2 m high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue
Getty kouros , is , 2 m marble statue
Getty kouros , is , 2 m high marble statue owned
Getty kouros , is , high marble statue owned
Getty kouros , is , 2 m high marble statue
Getty kouros , is , 2 m marble statue owned
Getty kouros , is , marble statue
high marble statue , owned by , J. Paul Getty Museum
marble statue , owned by , J. Paul Getty Museum
kouros , is , m
kouros , is , high
Getty kouros , is , marble statue owned
AA .40 , appearing to , date Greece
AA .40 , appearing to , date sixth-century Greece
AA .40 , appearing to , date
Becchina , is , Italian
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations
Artefacts , returned after , investigations into illicit trading
Artefacts , returned after , investigations into trading
Artefacts , returned in , 2007
Artefacts , returned after , Italian investigations
Marion True , was Curator from , 1986 until 2005
Marion True , was , Curator at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator
Marion True , was Curator at , J.Paul Getty Museum
Marion True , was , Curator at J.Paul Getty Museum from 1986 until 2005
J.Paul Getty Museum , is in , Los Angeles
Marion True , was , Curator of Antiquities at J.Paul Getty Museum from 1986 until 2005
Marion True , was , Curator of Antiquities from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles
Marion True , was Curator of , Antiquities
Marion True , was , Curator of Antiquities at J.Paul Getty Museum
Marion True , was Curator at , J.Paul Getty Museum in Los Angeles
She , was , charged
She , tried on , offences related
She , tried on , offences
She , tried in , Italy
She , tried on , offences related to antiquities smuggling
