Trafficking Culture , Researching , global traffic in objects
formal report , was filed following , request
report , was , filed on 21 December 2010 following express request
formal report , was filed on , 21 December 2010
report , was , filed
report , was filed following , request
formal report , was , filed
opportunity , find with , archaeological fieldwork
opportunity , find with , further fieldwork
opportunity , find with , fieldwork
opportunity , find As , result
opportunity , find with , further archaeological fieldwork
circumstances , surrounding , hoard 's discovery
second cause , was , unclear circumstances
second cause , was , circumstances
cause , was , circumstances
unclear circumstances , surrounding , hoard 's discovery
cause , was , unclear circumstances
hoard , has , discovery
he , come across , artefacts
museum , 's announcement is , Van Mechelen 2010
he , come by , chance
finder , Despite , initial declaration
find , been result of , systematic metal detection
it , was , much later confirmed
it , was , confirmed
find , been , indeed result
it , was , Only much later confirmed
it , was , later confirmed
find , indeed been result of , systematic metal detection
find , been result of , metal detection
find , indeed been result of , metal detection
find , been , result
he , continued , digging
finder , admitted In , addition
he , continued after , initial discovery
he , continued digging after , initial discovery
he , continued digging after , discovery
he , continued after , discovery
Unauthorized archaeological metal detection , is , explicitly prohibited
Unauthorized archaeological metal detection , is , prohibited
Unauthorized metal detection , is , explicitly prohibited
archaeological metal detection , is , prohibited
metal detection , is , explicitly prohibited
metal detection , is , prohibited
archaeological metal detection , is , explicitly prohibited
Unauthorized metal detection , is , prohibited
it , Thus would appear , have excavation
it , Thus would appear , have illegal excavation
it , been , excavation
it , would appear , have excavation
it , been , illegal
it , would appear , have illegal excavation
facts , are , true
it , been , illegal excavation
Minister , responsible for , heritage
Minister , responsible for , archaeological heritage
museum , Finally was criticized for , its decision
museum , was , criticized
its intention , prevent hoard from , disappearing
museum , was criticized for , its decision
its stated intention , prevent hoard from , disappearing
museum , was , Finally criticized
its stated intention , prevent , hoard
its intention , prevent hoard from , disappearing into private collection
its stated intention , prevent hoard from , disappearing into private collection
its intention , prevent hoard from , disappearing into collection
its intention , prevent , hoard
its stated intention , prevent hoard from , disappearing into collection
museum , paid , reasonable price of $ 3000 10 per cent of estimated value to landowner
museum , paid , reasonable price
museum , paid , reasonable price of $ 3000
museum , paid , price 10 per cent of estimated value
museum , paid , reasonable price 10 per cent of estimated value to landowner
museum , paid , price of $ 3000
museum , paid , reasonable price of $ 3000 10 per cent of value to landowner
museum , paid , reasonable price of $ 3000 10 per cent of estimated value
museum , paid , price
museum , paid , reasonable price 10 per cent
museum , paid , reasonable price of $ 3000 10 per cent of value
museum , paid , reasonable price 10 per cent of value to landowner
museum , paid , reasonable price 10 per cent to landowner
museum , paid , price of $ 3000 10 per cent of estimated value
museum , paid , price 10 per cent to landowner
museum , paid , price 10 per cent of value
museum , paid , reasonable price of $ 3000 to landowner
museum , paid , price of $ 3000 10 per cent of value
museum , paid , price of $ 3000 to landowner
museum , paid , price to landowner
museum , paid , reasonable price 10 per cent of value
museum , paid , price of $ 3000 10 per cent of value to landowner
museum , paid , reasonable price to landowner
museum , paid , price 10 per cent of value to landowner
museum , paid , reasonable price 10 per cent of estimated value
museum , paid , price 10 per cent of estimated value to landowner
museum , paid , price of $ 3000 10 per cent to landowner
museum , paid , price of $ 3000 10 per cent of estimated value to landowner
museum , paid , reasonable price of $ 3000 10 per cent
museum , paid , price of $ 3000 10 per cent
museum , paid , price 10 per cent
museum , paid , reasonable price of $ 3000 10 per cent to landowner
find , was , accidental
landowner , was , therefore from viewpoint entitled to payment
landowner , was , therefore from legal viewpoint entitled to payment
landowner , was entitled to , payment
case , is In , fact
landowner , therefore was entitled from , viewpoint
landowner , therefore was entitled from , legal viewpoint
landowner , was entitled from , viewpoint
landowner , was entitled from , legal viewpoint
landowner , was , from legal viewpoint entitled to payment
landowner , was , therefore entitled
landowner , therefore was entitled to , payment
landowner , was , entitled
landowner , was , from viewpoint entitled to payment
Flanders Heritage Agency 's policy , was questioned in , Parliamentary Commission
Flanders Heritage Agency 's alleged policy , was , questioned
Flanders Heritage Agency 's policy , was questioned in , Parliamentary Commission on heritage
Flanders Heritage Agency , has , alleged policy of tolerance towards amateur metal detection
Flanders Heritage Agency 's policy , was , questioned
Flanders Heritage Agency 's alleged policy , was questioned in , Parliamentary Commission on heritage
Flanders Heritage Agency 's alleged policy , was questioned in , Parliamentary Commission
minister , denied , existence
active prosecution , be , measure
prosecution , be , counterproductive measure
prosecution , be , measure
active prosecution , be , counterproductive measure
prosecution , be , counterproductive
minister , denied , formal existence
recent draft , instead envisioning , creation of licensing system for amateur metal-detector users
recent draft , envisioning , creation of licensing system
draft , instead envisioning , creation of licensing system
draft , envisioning , creation of licensing system for metal-detector users
recent draft , instead envisioning , creation
recent draft , would lift ban as , Partly result
draft , would lift , ban on metal
draft , instead envisioning , creation
recent draft , instead envisioning , creation of licensing system
draft , envisioning , creation of licensing system
draft , instead envisioning , creation of licensing system for amateur metal-detector users
draft , would lift , ban
recent draft , would lift , ban on metal
recent draft , instead envisioning , creation of licensing system for metal-detector users
recent draft , envisioning , creation of licensing system for amateur metal-detector users
draft , envisioning , creation
recent draft , envisioning , creation of licensing system for metal-detector users
recent draft , would lift , ban
recent draft , would lift ban as , result
draft , instead envisioning , creation of licensing system for metal-detector users
draft , would lift ban as , result
recent draft , envisioning , creation
draft , would lift ban as , Partly result
draft , envisioning , creation of licensing system for amateur metal-detector users
patrimonium , maart en , 18 november 2011
Archeonet Vlaanderen PAM Velzeke plaatst unieke zilverschat , is in , het daglicht accessed 25 November 2012
Unieke Romeinse zilverschat , is in , Everbeek
belga/eb , zilverschat in , Everbeek
Het Nieuwsblad , accessed , 10 September 2012
Biesbrouck , wetenschap en , schatgraverij
Binnenlands Bestuur , Toerisme en , Vlaamse Rand
Vraag om uitleg van de heer Dirk Van Mechelen tot de heer Geert Bourgeois , Bestuur over , het gedoogbeleid inzake vondstmeldingen
het gedoogbeleid inzake vondstmeldingen , over Bestuur is , Vlaams Parlement accessed
het gedoogbeleid inzake vondstmeldingen , over Bestuur is , Inburgering
het gedoogbeleid inzake vondstmeldingen , over Bestuur is , Toerisme en Vlaamse Rand
Commissie voor Leefmilieu , Ordening en , Onroerend Erfgoed
Dirix , accessed , 10 September 2012
worden , met de , vinger gewezen
worden , met de , Het Nieuwsblad
worden , met de , 10 March
worden , met de , http://www.nieuwsblad.be/article/detail.aspx?articleid=FC37BEVO
worden , met de , vinger gewezen accessed 10 September 2012
worden , met de , vinger gewezen accessed
http://www.rwo.be/Portals/100/OE/2Ontwerp%20van%20decreet%20betreffende%20het%20onroerend%20erfgoed.pdf , accessed at_time , 10 September 2012
Belgium , relegates , certain responsibilities
Belgium , relegates responsibilities As , state
Belgium , relegates responsibilities As , federal state
Belgium , relegates , responsibilities
Belgium , relegates responsibilities to , its constituent Regions
Belgium , relegates responsibilities such as , heritage management
Belgium , relegates responsibilities to , its Regions
procès-verbal , is , record
procès-verbal , is , official record
procès-verbal , is , official
