rich tomb , was , systematically looted
tomb rich , was , In around 2001 discovered at Jiroft in Iran 's southern province
tomb , was , In around 2001 discovered at Jiroft in Iran 's province of Kerman
tomb rich , was , discovered at Jiroft in Iran 's province of Kerman
tomb , was discovered in , Iran 's southern province of Kerman
tomb , was discovered at , Jiroft
tomb rich , was , discovered at Jiroft in Iran 's southern province
tomb , rich in , artefacts
tomb rich , was discovered in , Iran 's southern province of Kerman
tomb , was , In around 2001 discovered at Jiroft
tomb rich , was , In around 2001 discovered in Iran 's southern province
tomb , was , discovered at Jiroft in Iran 's southern province of Kerman
tomb , was , discovered
tomb , was , In around 2001 discovered in Iran 's province
tomb , was , In around 2001 discovered at Jiroft in Iran 's southern province of Kerman
tomb rich , was , In around 2001 discovered at Jiroft in Iran 's province of Kerman
tomb rich , was discovered in , Iran 's province
Iran , in , southern province of Kerman
tomb , was discovered in , Iran 's southern province
tomb , was discovered in , Iran 's province
tomb rich , was , In around 2001 discovered in Iran 's province of Kerman
tomb rich , was , In around 2001 discovered in Iran 's province
tomb , rich in , decorated artefacts
tomb rich , was discovered in , Iran 's province of Kerman
tomb , was discovered in , Iran 's province of Kerman
tomb , was discovered In , around 2001
tomb , was , discovered at Jiroft in Iran 's southern province
Iran , has , Islamic Police
Iran 's Police , stop , CHN 2004a
Iran 's Islamic Police , stop , digging
Iran 's Islamic Police , moved In , 2002
Iran 's Islamic Police , stop , illicit digging
Iran 's Police , stop , digging
Iran 's Police , stop , illicit digging
Iran 's Police , moved In , 2002
Iran 's Islamic Police , stop , CHN 2004a
objects , made of , soapstone-like mineral
mineral , occurring in , range colours
objects , made of , mineral occurring in range
portable objects , made of , mineral occurring in range of colours
soapstone-like mineral , occurring in , range
objects , made of , soapstone-like mineral occurring in range of colours
objects , made of , mineral occurring
portable objects , made of , mineral occurring
objects , made of , soapstone-like mineral occurring in range
portable objects , made of , soapstone-like mineral occurring in range
objects , made of , mineral occurring in range of colours
portable objects , made of , mineral
types , include , objects
mineral , occurring in , range
portable objects , made of , soapstone-like mineral occurring
objects , made of , soapstone-like mineral occurring
portable objects , made of , mineral occurring in range
portable objects , made of , chlorite
objects , made of , mineral
soapstone-like mineral , occurring in , range colours
portable objects , made of , soapstone-like mineral occurring in range of colours
portable objects , made of , soapstone-like mineral
objects , made of , chlorite
artwork , include , variety
artwork , include , bewildering variety
artwork , include , bewildering variety of plants
artwork , include , variety of plants
many more , were , likely
artefacts , were later seized in , parts
artefacts , were later seized in , parts of Iran
artefacts , were later seized in , other parts of Iran
artefacts , were , seized
artefacts , were seized in , other parts
artefacts , were seized in , parts of Iran
artefacts , were , later seized
artefacts , were later seized in , other parts
artefacts , were seized in , other parts of Iran
artefacts , were seized in , parts
more , were , likely
artefacts , attributed to , Jiroft
Iran , News 's , Payvand
Iran , moved , call for repatriation
Iran , moved , call for repatriation of artefacts believed
Payvand , has , Iran News 2004
Iran , call for , repatriation of artefacts
Iran , moved , call
Iran , call for , repatriation
Iran , moved , call for repatriation of artefacts
Iran , call for , repatriation of artefacts believed
Iran 's Ministry , worked , try
artefacts , attributed from , smugglers
Iran 's Ministry , worked In , addition
Iran 's Ministry , worked alongside , Interpol
artefacts , attributed to , Jiroft
artefacts , attributed from , suspected smugglers
artefacts , attributed from , CHN 2005a
Iran , has , Ministry of Intelligence
Jiroft artefacts , allegedly consigned by , Paris-based dealers
Jiroft artefacts , allegedly consigned by , several dealers
Jiroft artefacts , consigned by , CHN 2004a
Jiroft artefacts , consigned for , sale
Jiroft artefacts , allegedly consigned by , dealers
80 Jiroft artefacts , consigned by , several Paris-based dealers
sale , is in , London
Drouot , is in , Paris
80 Jiroft artefacts , allegedly consigned for , sale
80 Jiroft artefacts , allegedly consigned by , CHN 2004a
80 Jiroft artefacts , consigned for , sale
80 Jiroft artefacts , were found In , 2003
Jiroft artefacts , were found In , 2003
Jiroft artefacts , consigned by , Paris-based dealers
Jiroft artefacts , consigned by , several Paris-based dealers
80 Jiroft artefacts , allegedly consigned by , several dealers
Jiroft artefacts , were , found
Jiroft artefacts , were found , sale
80 Jiroft artefacts , be on , sale
80 Jiroft artefacts , were found , sale in London
Jiroft artefacts , allegedly consigned by , CHN 2004a
Jiroft artefacts , allegedly consigned by , several Paris-based dealers
80 Jiroft artefacts , were found , sale
80 Jiroft artefacts , were , found
Jiroft artefacts , be on , sale
80 Jiroft artefacts , consigned by , Paris-based dealers
80 Jiroft artefacts , be on , sale in London
Jiroft artefacts , consigned by , dealers
sale , is in , Drouot
Jiroft artefacts , allegedly consigned for , sale
80 Jiroft artefacts , consigned by , dealers
Jiroft artefacts , were found , sale in London
80 Jiroft artefacts , consigned by , several dealers
Jiroft artefacts , consigned by , several dealers
80 Jiroft artefacts , allegedly consigned by , several Paris-based dealers
80 Jiroft artefacts , allegedly consigned by , dealers
80 Jiroft artefacts , allegedly consigned by , Paris-based dealers
Jiroft artefacts , be on , sale in London
80 Jiroft artefacts , consigned by , CHN 2004a
object , was , repatriated
object , was repatriated after , legal proceedings
Sotheby 's auction house , is in , London
object , was repatriated after , proceedings
Sotheby , at , auction house in London
ceremony , was held following , repatriation claim to UK government by government
ceremony , was , In 2005 following successful repatriation claim held
ceremony , was , following repatriation claim by government held in Tehran
ceremony , was , following repatriation claim by government held at National Museum in Tehran
ceremony , was held following , successful repatriation claim by Iranian government
ceremony , was , In 2005 following repatriation claim to UK government by government held at National Museum
ceremony , was , In 2005 following repatriation claim by Iranian government held
ceremony , was , following repatriation claim to UK government by government held in Tehran
ceremony , was held in , Tehran
ceremony , was , following successful repatriation claim to UK government held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim held
ceremony , was , following repatriation claim to UK government held at National Museum
ceremony , was , In 2005 following repatriation claim to UK government by Iranian government held at National Museum in Tehran
ceremony , was , following repatriation claim to UK government by Iranian government held at National Museum in Tehran
ceremony , was held following , successful repatriation claim to UK government
ceremony , was , following successful repatriation claim to UK government by government held in Tehran
ceremony , was , following successful repatriation claim to UK government by government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim by government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government by Iranian government held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim to UK government by government held in Tehran
ceremony , was held following , successful repatriation claim to UK government by Iranian government
ceremony , was , In 2005 following successful repatriation claim to UK government by government held at National Museum
ceremony , was held at , National Museum
ceremony , was , following successful repatriation claim by Iranian government held at National Museum
ceremony , was , In 2005 following repatriation claim held in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government by Iranian government held
ceremony , was , following repatriation claim to UK government by government held at National Museum
ceremony , was , following repatriation claim to UK government by Iranian government held at National Museum
ceremony , was , In 2005 following repatriation claim to UK government held
ceremony , was , In 2005 following successful repatriation claim to UK government by Iranian government held at National Museum
ceremony , mark , return of 118 Jiroft artefacts
ceremony , was , following repatriation claim held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim held at National Museum
ceremony , was , In 2005 following repatriation claim by government held at National Museum
ceremony , was , In 2005 following repatriation claim to UK government by government held at National Museum in Tehran
ceremony , was , following successful repatriation claim by Iranian government held in Tehran
ceremony , was , In 2005 following repatriation claim to UK government held in Tehran
ceremony , was , following repatriation claim held at National Museum
ceremony , was , following successful repatriation claim held in Tehran
ceremony , was , In 2005 following repatriation claim by Iranian government held at National Museum
ceremony , was , In 2005 held in Tehran
ceremony , was , In 2005 following repatriation claim by Iranian government held in Tehran
ceremony , was held following , successful repatriation claim
ceremony , was , following repatriation claim by government held at National Museum
ceremony , was , following repatriation claim to UK government by government held at National Museum in Tehran
ceremony , was , following repatriation claim held in Tehran
ceremony , was , In 2005 following successful repatriation claim held at National Museum in Tehran
ceremony , was , In 2005 held at National Museum
ceremony , was , following repatriation claim to UK government by Iranian government held in Tehran
ceremony , was , following successful repatriation claim to UK government by Iranian government held at National Museum
ceremony , was , In 2005 following successful repatriation claim by government held
ceremony , was , following successful repatriation claim to UK government held in Tehran
ceremony , mark , return of 118 Jiroft artefacts from London
ceremony , was , following successful repatriation claim held at National Museum
ceremony , was , In 2005 following repatriation claim to UK government by Iranian government held in Tehran
ceremony , was , following successful repatriation claim to UK government by Iranian government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim by Iranian government held in Tehran
ceremony , was , following successful repatriation claim held at National Museum in Tehran
ceremony , was held following , successful repatriation claim to UK government by government
ceremony , was , In 2005 following repatriation claim to UK government held at National Museum in Tehran
ceremony , was held In , 2005
ceremony , was , following successful repatriation claim by government held at National Museum
ceremony , was , following successful repatriation claim to UK government held at National Museum
ceremony , was held following , repatriation claim by government
ceremony , was , In 2005 following repatriation claim to UK government by Iranian government held
ceremony , was , following successful repatriation claim to UK government by government held at National Museum
ceremony , was , following repatriation claim by Iranian government held at National Museum
ceremony , was , In 2005 following successful repatriation claim by government held in Tehran
ceremony , was , following repatriation claim to UK government held in Tehran
ceremony , was , In 2005 following repatriation claim by government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government held in Tehran
ceremony , was , In 2005 following successful repatriation claim held in Tehran
ceremony , was , In 2005 following successful repatriation claim by Iranian government held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim by government held in Tehran
ceremony , was , held
ceremony , was , In 2005 following successful repatriation claim by Iranian government held
ceremony , was , held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government by government held at National Museum in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government held at National Museum
ceremony , was , In 2005 following repatriation claim to UK government by government held
ceremony , was , In 2005 following repatriation claim held at National Museum
ceremony , was held following , repatriation claim to UK government by Iranian government
ceremony , was , In 2005 following successful repatriation claim by Iranian government held at National Museum
ceremony , was , following repatriation claim to UK government held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim by government held
ceremony , was , In 2005 held at National Museum in Tehran
ceremony , was , following successful repatriation claim by government held at National Museum in Tehran
ceremony , mark , return
ceremony , was , In 2005 following successful repatriation claim to UK government by Iranian government held in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government held
ceremony , was , In 2005 following successful repatriation claim to UK government by government held
ceremony , was , following successful repatriation claim by Iranian government held at National Museum in Tehran
ceremony , was , In 2005 following repatriation claim to UK government held at National Museum
ceremony , was held following , repatriation claim
ceremony , was , following successful repatriation claim by government held in Tehran
ceremony , was , In 2005 following successful repatriation claim to UK government by government held in Tehran
ceremony , was , following repatriation claim by Iranian government held in Tehran
ceremony , was , In 2005 following repatriation claim to UK government by Iranian government held at National Museum
ceremony , was held following , repatriation claim by Iranian government
ceremony , was held following , successful repatriation claim by government
ceremony , was , In 2005 following successful repatriation claim by government held at National Museum
ceremony , was , following successful repatriation claim to UK government by Iranian government held in Tehran
ceremony , was , In 2005 following repatriation claim by Iranian government held at National Museum in Tehran
ceremony , was , following repatriation claim by Iranian government held at National Museum in Tehran
ceremony , was held following , repatriation claim to UK government
death sentence , has , has used in Iran for antiquities trafficking
authorities , are taking looting at , Jiroft
death sentence , has , has used for antiquities trafficking
authorities , are taking , looting
death sentence , has , has used
death , is in , 2004
Iranian authorities , are taking , looting
death sentence , has , has used in Iran
Iranian authorities , are taking looting at , Jiroft
material culture , represent civilisation at , least important as Mesopotamia
material culture , represent , civilisation
material culture , represent civilisation at , least as important as Mesopotamia
material culture , represent civilisation at , least important as ancient Mesopotamia
There has ongoing debate , is with , some suggesting
material culture , represent civilisation at , least as important as ancient Mesopotamia
material culture , represent civilisation at , least
material culture , represent civilisation at , least important
material culture , represent civilisation at , least as important
excavations , have taken place in , region
authorised excavations , However have also taken , place
authorised archaeological excavations , have also taken place in , region
authorised archaeological excavations , have taken , place
authorised archaeological excavations , have taken place in , region
authorised archaeological excavations , have also taken , place
archaeological excavations , have taken place in , region
authorised archaeological excavations , However have taken , place
authorised archaeological excavations , However have taken place in , region
authorised excavations , have taken place in , region
excavations , However have also taken , place
excavations , However have taken place in , region
archaeological excavations , have taken , place
archaeological excavations , However have also taken place in , region
authorised excavations , However have also taken place in , region
archaeological excavations , However have also taken , place
authorised excavations , have also taken place in , region
authorised excavations , have taken , place
excavations , However have taken , place
authorised excavations , have also taken , place
archaeological excavations , have also taken place in , region
archaeological excavations , have also taken , place
authorised excavations , However have taken place in , region
authorised archaeological excavations , However have also taken , place
archaeological excavations , However have taken place in , region
excavations , have also taken place in , region
authorised archaeological excavations , However have also taken place in , region
excavations , have also taken , place
authorised excavations , However have taken , place
excavations , have taken , place
archaeological excavations , However have taken , place
excavations , However have also taken place in , region
government , secured , right of ownership for eight artefacts
government , secured , right of ownership for eight artefacts believed
government , secured right following , appeal to court case
Iranian government , secured , right of ownership
government , secured , right
Mayfair gallery , is in , London
government , secured right following , appeal to earlier court case
Iranian government , secured , right
government , secured right In , December 2007
Iranian government , secured right following , appeal
government , secured , right for eight artefacts believed
London , in gallery is , Chechi
government , secured , right of ownership
Iranian government , secured , right for eight artefacts
Iranian government , secured right In , December 2007
Iranian government , secured , right for eight artefacts believed
government , secured , right for eight artefacts
Iranian government , secured right following , appeal to court case
Iranian government , secured right following , appeal to earlier court case
government , secured right following , appeal
Art-Law Centre , University of , Geneva
Iran , has , New Raid against
2005b , Ceremony for , Handing Jiroft Artefacts
Illegal Excavations , is in , Jiroft
Yazd , in , Iranian Cultural Heritage News Agency
Stolen Ancient Goblet , is in , Yazd ' Iranian Cultural Heritage News Agency
Yazd , ' Agency is , 29/04/2006
Context , Without Culture is , 8-20
Harris , sentences to , death
Jiroft Discovery , Stuns , Archaeologists 973-74
Earliest Oriental Civilisation , Bulletin of , Asia Institute
Probe Jioroft Ransacked Artefacts , News 's , Payvand
Payvand , 's News is , 2004
Payvand , has , Iran News
Payvand , has , Iran News
