Researching , traffic in , objects
flowering , occurred , due to initial shift following 19th century contact
flowering , occurred , due to initial shift in local wealth following early 19th century contact
flowering , occurred , due to initial shift following early century European contact
carving , slowed , mid-century due to massive population loss
flowering , occurred , due to shift in wealth following early century contact
mid-century , due to , population loss
flowering , occurred , due to initial shift in wealth following 19th century contact
flowering , occurred , due to initial shift following early 19th century contact
Canadian government , began , removal of Indigenous children
Canadian government , began , removal of Indigenous children to schools
Canadian government , began , removal of Indigenous children to residential schools
government , began , removal
Canadian government , began , removal to schools
Canadian government , began , removal of children to residential schools
Carving , was , curtailed
government , began , removal to schools
government , outlawed , potlach
Canadian government , began , removal
Canadian government , began , removal of children
government , began , removal of children to schools
Canadian government , outlawed , potlach
government , began , removal to residential schools
government , began , removal of Indigenous children to residential schools
Canadian government , began , removal of children to schools
government , began , removal of Indigenous children
Canadian government , began , removal to residential schools
government , began , removal of children to residential schools
government , began removal in , 1894
government , began , removal of children
Canadian government , began removal in , 1894
government , began , removal of Indigenous children to schools
Olof Hansson , began process In , December of 1927 Swedish vice consul
Sweden , for , Museum of Ethnography
Olof Hansson , began process In , December of 1927 vice consul
Olof Hansson , began , process
Olof Hansson , began process In , December of 1927 Swedish vice consul to British Columbia
Olof Hansson , began process In , December
Olof Hansson , began process In , December of 1927 vice consul to British Columbia
Hansson , was notified about , location of pole by indigenous agent
Hansson , was notified about , location
Hansson , was notified about , location by agent
Hansson , was notified about , location of pole
Hansson , was notified about , location by indigenous agent
Hansson , was notified about , location of pole by agent
Hansson , was , notified
they , granted later , his request
vice consul , contacted , Canadian Department
vice consul , contacted , Canadian Department of Indian Affairs
piece , was , provided
part , is with , it
they , granted , his request
Hansson , convince Henaksiala to , part
Hansson , convince Henaksiala to , part with it
Hansson , convince , Henaksiala
site , was , abandoned
Henaksiala , moved throughout , year
Henaksiala , moved through , series of locations
Henaksiala , moved through , series
This , is confirmed by , reports
This , is , confirmed
Hansson , obtain permission before , removal
stipulation , is matter of , controversy
stipulation , is , matter
pole , from , owners
Hansson , obtain , permission
Hansson , permission from , pole 's owners
Hansson , obtain , permission from pole 's owners
he , was , able
he , convince , younger Henaksiala
he , convince , Henaksiala
they , record of , terms of sale
they , do have , record of terms of sale
Louisa Smith , daughter of , Chief G'psgolox
pole , was taken without , permission of her family
pole , was , taken
pole , was taken without , permission
pole , be removed in , first place
pole , be removed in , place
ability , is , questionable
pole , even be removed in , place
ability , is , ethically questionable
pole , even be removed in , first place
pole , be , even removed
pole , be , removed
its memory , was preserved via , oral traditions
its memory , was preserved via , traditions
its memory , however was preserved via , oral traditions
its memory , however was preserved via , traditions
its memory , was , preserved
its memory , was , however preserved
pole , be in , collection of Museum of Ethnography
pole , be in , collection of Museum of Ethnography in Stockholm
pole , be in , collection of Museum
pole , was found , collection of Museum of Ethnography in Stockholm
pole , be in , collection of Museum in Stockholm
pole , was found , collection of Museum of Ethnography
Museum , is in , Stockholm
pole , was , found
pole , was found , collection of Museum
pole , be in , collection
pole , was found , collection
pole , was found , collection of Museum in Stockholm
pole , was found In , 1991
it , was , stolen
it , need , returned
They , make , replica of pole for Sweden
pole , of replica is , Jessiman 2011
They , make , replica
They , make , Jessiman 2011
They , make , replica of pole
you , someone , their own stolen property
it , is , true
implications , caused , serious issues
implications , however caused issues with , Haisla
implications , caused issues with , Haisla
implications , however caused , issues
implications , however caused , serious issues
you , someone , own stolen property
implications , caused , issues
group , traveled to , Sweden
group , traveled in , 1997 where
group , traveled again in , 1997 where
group , traveled again to , Sweden
it , was , challenge
this , was , impossible
it , was challenge to , their cultural practices
it , was challenge to , their traditional practices
it , was challenge to , their practices
this , was , financially impossible
it , was challenge to , their traditional cultural practices
visitors , could see , carving process
He , spent , month
pole , was , packed
shipped , back to , Canada
Haisla , conducted , traditional pole raising ceremony
Haisla , conducted , traditional pole raising ceremony at Museum of Ethnography
Haisla , conducted pole raising ceremony In , 2006
original pole , was , packed
Haisla , conducted , traditional pole raising ceremony at Museum
Haisla , conducted , pole raising ceremony for replica pole at Museum of Ethnography
Haisla , conducted , pole raising ceremony at Museum of Ethnography
Haisla , conducted , traditional pole raising ceremony for replica pole
Haisla , conducted , traditional pole raising ceremony for replica pole at Museum of Ethnography
original pole , was packed on , 23 March
Haisla , conducted , pole raising ceremony
Haisla , conducted , pole raising ceremony at Museum
Haisla , conducted , pole raising ceremony for replica pole at Museum
Haisla , conducted , pole raising ceremony for replica pole
pole , was packed on , 23 March
Haisla , conducted , traditional pole raising ceremony for replica pole at Museum
Nations , totem , pole repatriated from Europe
first Nations , totem , pole repatriated from Europe
it , is thought , first First Nations
First Nations , totem , pole repatriated from Europe
it , is thought , first Nations
it , is thought , First Nations
it , is thought , Nations
first Nations , totem , pole repatriated
Nations , totem , pole repatriated
first First Nations , totem , pole repatriated from Europe
it , is , thought
First Nations , totem , pole repatriated
it , returned to , Kitimaat Village
first First Nations , totem , pole repatriated
it , returned On , 1 July
Totem pole , has , return
Raven , has , Eye 10
Raven , 's Eye is , 3
Sweden , returns , pole
Sweden , returns , totem pole
