J.Paul Getty Museum , is in , Los Angeles
trial , was , abandoned without verdict on 13 October 2010 as limitation period on True 's offences expired
trial , was abandoned as , limitation period on True 's offences
trial , was , abandoned without verdict as limitation period
trial , was , abandoned without verdict as limitation period on True 's offences
trial , was , abandoned without verdict on 13 October 2010 as limitation period expired
trial , was , abandoned without verdict on 13 October 2010 as limitation period on True 's alleged offences
trial , was , abandoned without verdict as limitation period on True 's alleged offences expired
trial , was , abandoned without verdict as limitation period on True 's offences expired
she , been , condemned
Greek prosecutors , charged , True
Greek prosecutors , charged , True in connection
connection , is with , fourth-century BC gold funerary wreath acquired in 1993
prosecutors , charged , True
prosecutors , charged , True in connection
her trial , was , ended without resolution after expiry of statute
her trial , was , ended
her trial , was , In November 2007 ended without resolution after expiry of statute of limitations
her trial , was , In November 2007 ended after expiry
her trial , was ended In , November 2007
her trial , was , In November 2007 ended without resolution
her trial , was ended without , resolution
her trial , was ended after , expiry of statute
her trial , was , ended without resolution after expiry
her trial , was ended after , expiry
her trial , was , In November 2007 ended without resolution after expiry
her trial , was , In November 2007 ended after expiry of statute
her trial , was , ended without resolution after expiry of statute of limitations
her trial , was ended after , expiry of statute of limitations
her trial , was , In November 2007 ended after expiry of statute of limitations
her trial , was , In November 2007 ended without resolution after expiry of statute
Getty curator Marion True , of , New Yorker
Getty curator Marion True , ' Yorker is , 17 December
http://www.newyorker.com/reporting/2007/12/17/071217fa_fact_eakin , accessed , 18 July 2012
Hugh , True on , her trial
http://www.newyorker.com/online/blogs/newsdesk/2010/10/marion-true.html , accessed , 18 July 2012
Charges , are , dropped
Charges , are , dropped in Getty case
http://articles.latimes.com/2007/nov/28/entertainment/et-getty28 , accessed , 18 July 2012
World , 's Museum is , New York
World , at , Richest Museum
Getty , returns , three stolen works
Getty , returns , 1,3
Getty , returns , 90
Getty , returns , Art Newspaper
Getty , returns , three works
James A.R. Nafziger , in Lyons is , Claire
Lyons , is in , James A.R. Nafziger
Lyons , Museums as , sites of reconciliation
James A.R. Nafziger , in Lyons is , Museums as sites of reconciliation
http://www.theartnewspaper.com/articles/Neither-condemned-nor-vindicated/22163 , accessed , 18 July 2012
Getty , 's acquisitions is , Los Angeles Times
Indictment , targets , 20 May
Indictment , targets , Getty 's acquisitions
Getty , 's acquisitions is , 20 May
Getty , ' , acquisitions
Indictment , targets , Los Angeles Times
http://articles.latimes.com/2005/may/20/entertainment/et-getty20 , accessed , 19 July 2012
It , was acquired in , 1988
It , was acquired by , J. Paul Getty Museum
It , returned to , Italy
It , returned in , 2007
It , was , acquired
It , was , acquired by J. Paul Getty Museum in 1988
2 m marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , marble statue owned by J. Paul Getty Museum
2 m high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , 2 m marble statue owned by J. Paul Getty Museum
Getty kouros , is , 2 m high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue owned by J. Paul Getty Museum
Getty kouros , is , high marble statue
Getty kouros , is , 2 m marble statue
Getty kouros , is , 2 m high marble statue owned
Getty kouros , is , high marble statue owned
Getty kouros , is , 2 m high marble statue
Getty kouros , is , 2 m marble statue owned
high marble statue , owned by , J. Paul Getty Museum
Getty kouros , is , marble statue
marble statue , owned by , J. Paul Getty Museum
kouros , is , m
kouros , is , high
Getty kouros , is , marble statue owned
AA .40 , appearing to , date Greece
AA .40 , appearing to , date sixth-century Greece
AA .40 , appearing to , date
Giacomo Medici , illegal export of , goods
Giacomo Medici , conspiracy to , traffic
Medici , is , Italian
Giacomo Medici , export of , goods
J. Paul Getty Museum , returned On , 5 February 1999
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three artifacts
J. Paul Getty Museum , being , informed
they , been , stolen
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three objects
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations
Artefacts , returned after , investigations into illicit trading
Artefacts , returned in , 2007
Artefacts , returned after , investigations into trading
Artefacts , returned after , Italian investigations
Jiri Frel , was curator at , J.Paul Getty Museum
Jiri Frel , was associated with , irregularities
Jiri Frel , was , associated
Jiri Frel , was , curator
Jiri Frel , was curator of , antiquities
Jiri Frel , was associated with , several irregularities regarding museum acquisitions
Jiri Frel , was associated with , several irregularities
Jiri Frel , was associated with , irregularities regarding museum acquisitions
Jiri Frel , was , curator of antiquities at J.Paul Getty Museum
informative studies , is in , cultural objects
large unprovenanced silver treasure , was , subject
silver treasure , was subject to , court battle over ownership
large silver treasure , was subject In , 1993
large silver treasure , was , subject
large silver treasure , was , In 1993 subject to court battle over ownership in New York
large silver treasure , was subject to , court battle over ownership in New York
silver treasure , was , subject
unprovenanced silver treasure , was , In 1993 subject to court battle
ownership , is in , New York
large silver treasure , was , In 1993 subject to court battle over ownership
large silver treasure , was subject to , court battle
large unprovenanced silver treasure , was , In 1993 subject to court battle over ownership
unprovenanced silver treasure , was subject In , 1993
unprovenanced silver treasure , was subject to , court battle
unprovenanced silver treasure , was , In 1993 subject to court battle over ownership in New York
large unprovenanced silver treasure , was , In 1993 subject to court battle
silver treasure , was , In 1993 subject to court battle over ownership in New York
silver treasure , was subject to , court battle
unprovenanced silver treasure , was subject to , court battle over ownership in New York
silver treasure , was , In 1993 subject to court battle
unprovenanced silver treasure , was , subject
large silver treasure , was subject to , court battle over ownership
silver treasure , was , In 1993 subject to court battle over ownership
unprovenanced silver treasure , was , In 1993 subject to court battle over ownership
large silver treasure , was , In 1993 subject to court battle
unprovenanced silver treasure , was subject to , court battle over ownership
large unprovenanced silver treasure , was , In 1993 subject to court battle over ownership in New York
silver treasure , was subject In , 1993
large unprovenanced silver treasure , was subject to , court battle over ownership in New York
large unprovenanced silver treasure , was subject In , 1993
large unprovenanced silver treasure , was subject to , court battle
large unprovenanced silver treasure , was subject to , court battle over ownership
silver treasure , was subject to , court battle over ownership in New York
