Researching , traffic in , objects
police , believe after , Sometime sale of two pieces in 1977
police , believe after , Sometime reported sale of two pieces in 1977
police , believe after , sale of first two pieces of silver
police , believe after , sale of first two pieces in 1977
police , believe after , sale
police , believe after , Sometime reported sale of two pieces of silver in 1977
police , believe after , sale of first two pieces of silver in 1977
reported sale , is in , 1977
police , believe after , reported sale of first two pieces
police , believe after , reported sale in 1977
police , believe after , Sometime reported sale of first two pieces of silver
police , believe after , reported sale of first two pieces of silver in 1977
police , believe after , reported sale
police , believe after , sale of two pieces of silver
police , believe after , reported sale of two pieces in 1977
police , believe after , sale of first two pieces
police , believe after , reported sale of first two pieces in 1977
police , believe after , Sometime sale of two pieces of silver in 1977
police , believe after , reported sale of two pieces of silver
police , believe after , Sometime reported sale of first two pieces
police , believe after , Sometime sale in 1977
police , believe after , sale of two pieces in 1977
police , believe after , Sometime sale of two pieces
police , believe after , Sometime reported sale
police , believe after , Sometime sale of first two pieces of silver
police , believe after , Sometime reported sale in 1977
police , believe after , Sometime reported sale of two pieces
police , believe after , Sometime sale of first two pieces of silver in 1977
police , believe after , Sometime sale of first two pieces in 1977
police , believe after , reported sale of two pieces
police , believe after , sale in 1977
police , believe after , reported sale of two pieces of silver in 1977
Hungarian claim , was rejected by , New York State Supreme Court
claim , was rejected in , November 1993 in favour of Marquess
Hungarian claim , was , rejected by New York State Supreme Court in November 1993 in favour of Marquess
Hungarian claim , was rejected in , November 1993
claim , was , rejected
claim , was rejected in , November 1993 in favour
Hungarian claim , was , rejected by New York State Supreme Court in November 1993
Hungarian claim , was , rejected by New York State Supreme Court in November 1993 in favour
claim , was rejected in , November 1993
Hungarian claim , was rejected in , November 1993 in favour
November 1993 , is in , favour of Marquess of Northampton
Hungarian claim , was , rejected
claim , was , rejected by New York State Supreme Court in November 1993
claim , was , rejected by New York State Supreme Court in November 1993 in favour of Marquess
claim , was rejected by , New York State Supreme Court
claim , was , rejected by New York State Supreme Court in November 1993 in favour
Hungarian claim , was rejected in , November 1993 in favour of Marquess
testimony , was , discredited
testimony , was , Furthermore discredited
Hungary , has , failure call particularly they had
Sümegh , of , close family
Northampton , has , lawyers have
József Sümegh 's half-brother , has , however has reported
József Sümegh 's half-brother , has , Since court case has reported
József Sümegh 's half-brother , has , Since court case however has reported
József , is with , Treasure
József Sümegh 's half-brother , has , has reported
József Sümegh 's younger half-brother , has , however has reported
him , clean , it
József Sümegh 's younger half-brother , has , has reported
József Sümegh , has , younger half-brother
József Sümegh 's younger half-brother , has , Since court case has reported
József Sümegh 's younger half-brother , has , Since court case however has reported
Northampton , has , lawyers
Northampton 's lawyers , conflicting with , earlier statement
Northampton 's lawyers , conflicting with , sworn statement
Northampton 's lawyers , conflicting with , earlier sworn statement
Northampton 's lawyers , conflicting with , statement
Northampton 's lawyers , continue , dismissive of case
Northampton 's lawyers , continue , dismissive of Hungarian case
Northampton 's lawyers , continue , dismissive
name Peter Wilson , in , two sons
Northampton , has , lawyers
trust , is in , name Peter Wilson 's two sons
Northampton , purchase , silver
Wilson , has , sons
ownership , was divided in , 2008 between Northampton
ownership , was , divided
Lord Northampton , has , half of Sevso silver
Ludovic , Origins of , Sevso treasure
Zsolt Visy , in Hajdú is , Éva
Hajdú , is in , Zsolt Visy
Zsolt Visy , in Hajdú is , Seuso treasure
De Walden , is in , Kate Fitz Gibbon
De Walden , trial of , Sevso Treasure
Kate Fitz Gibbon , in Walden is , Ludovic
Kate Fitz Gibbon , in Walden is , trial of Sevso Treasure
Landesman , curse of , Sevso silver
Zsolt Visy , in Mráv is , Late Roman silver folding stand from Polgárdi
Zsolt Visy , in Mráv is , Zsolt
Mráv , is in , Zsolt Visy
Mráv , stand from , Polgárdi
Zsolt Visy , in Nádorfi is , Preliminary report on excavation of Late Roman building
Nádorfi , is in , Zsolt Visy
Nádorfi , report on , excavation of Late Roman building
Zsolt Visy , in Tóth is , Endre
Zsolt Visy , in Tóth is , Seuso Treasure
Tóth , is in , Zsolt Visy
Zsolt Visy , in Visy is , Zsolt
Zsolt Visy , in Visy is , known objects of Seuso Treasure
Visy , objects of , Seuso Treasure
Visy , is in , Zsolt Visy
