Researching , traffic in , objects
available evidence , strongly points as , likely explanation of history of mask
evidence , strongly points towards , this
evidence , strongly points as , most likely explanation
reasonable person , was smuggled out of , Guatemala
mask , became , known
reasonable person , was , smuggled
it , was found after , 1947
mask , became , publicly known
reasonable person , was illegally smuggled out of , Guatemala
mask , was looted from , Tomb 1 at Río Azul
reasonable person , was , illegally smuggled
mask , was , looted
person , was , smuggled
person , was smuggled out of , Guatemala
person , was , illegally smuggled
person , was illegally smuggled out of , Guatemala
mask , was looted from , Tomb 1
it , was , found
country , is in , question
This , is , how proves
piece , had , had stolen
This , is , essentially how proves
piece , had , thus had stolen
This , is , proves
This , is , essentially proves
it , is common for , courts rule in favour
it , is common for , courts
it , is common for , courts rule in favour of current possessor of object
it , is common for , courts rule in favour of possessor of object
it , is common for , courts rule in favour of current possessor
it , is common for , courts rule
it , is , common
it , is common for , courts rule in favour of possessor
Río Azul , appear on , face
Some , arguments in , case of Herakles
arguments , is in , case of Weary Herakles
Some , arguments in , case
proof , is in , disputes
Río Azul , appear for , commentators.While
Some , arguments in , case of Weary Herakles
Río Azul , appear on , face of it
Guatemala , University of , Texas
> , accessed , 6 August 2012
Tripod Vessel , is with , Slab-legs ' Website of Detroit Institute of Art <
Slab-legs , with , Website of Detroit Institute of Art <
Art dealers , is in , U.S.
Struggle , Save , Past From
Struggle , Save , Past
Valdés , Management of , Guatemala 's Cultural Heritage
A Challenge , is in , Barbra T. Hoffman
Guatemala , of , Cultural Heritage
mask , being , made
mask , is , reported
mask , is , sometimes reported
Classic Maya vase , is in , now Detroit Institute of Arts
Guatemalan site , is in , late 1970s
