Dos Cabezas , is Moche cultural site , site
1960s , is in , Germany
importer , fabricated , invoices
importer , was , alleged
Roeckl , returned , pieces
Roeckl , returned as , part of settlement
Roeckl , returned pieces as , part
Roeckl , returned on , 2 November 2010
Roeckl , returned to , Peru
Roeckl , returned as , part
pieces , avoid , ICE 2010
Roeckl , returned pieces to , Peru
pieces , avoid , charges
Roeckl , returned pieces on , 2 November 2010
Roeckl , returned pieces as , part of settlement
Art collector settlement , allows , repatriation of 2 antiquities
Art collector settlement , allows , repatriation of 2 rare ceramic antiquities
Art collector settlement , allows , repatriation of 2 ceramic antiquities
Art collector settlement , allows , repatriation of 2 rare antiquities
Art collector settlement , allows , repatriation
Pyramid , is in , Peru
Moche funerary site , is in , Northern Peru
