it , tracing of , origins of significant
Art Newspaper , criticised Museum given , Alberge 1998
Museum , later returned , artefacts
British Museum , later returned to , Horsnell 1995a
Museum , later returned artefacts to , his daughter
artefacts , subsequently buying back , them
British Museum , returned , artefacts
Museum , later returned to , his daughter
landowner , passed away in , 1994
Museum , later returned artefacts to , Horsnell 1995a
British Museum , returned artefacts to , his daughter
landowner , passed in , 1994
Museum , later returned to , Horsnell 1995a
Museum , returned to , his daughter
British Museum , later returned artefacts to , Horsnell 1995a
British Museum , returned artefacts to , Horsnell 1995a
artefacts , buying , them
artefacts , subsequently buying , them
British Museum , returned to , Horsnell 1995a
Museum , returned to , Horsnell 1995a
British Museum , returned to , his daughter
British Museum , later returned to , his daughter
Museum , returned , artefacts
British Museum , later returned artefacts to , his daughter
Museum , returned artefacts to , his daughter
British Museum , later returned , artefacts
artefacts , buying back , them
Museum , returned artefacts to , Horsnell 1995a
his , daughter , Horsnell 1995a
They , were , unsuccessful
British Museum , paid over for , same collection of artefacts
Museum , paid for , same collection of artefacts
British Museum , paid over for , collection of artefacts
Museum , paid over for , collection
Museum , paid for , collection
Museum , paid over for , same collection
British Museum , paid twice over for , same collection of artefacts
Museum , paid twice over for , same collection
Museum , paid twice over for , collection of artefacts
British Museum , paid for , collection
Museum , paid twice over for , same collection of artefacts
British Museum , paid for , same collection
Museum , paid for , same collection
British Museum , paid for , same collection of artefacts
British Museum , paid twice over for , collection
British Museum , paid for , collection of artefacts
British Museum , paid over for , same collection
Museum , paid for , collection of artefacts
British Museum , paid over for , collection
British Museum , paid twice over for , collection of artefacts
British Museum , is in , effect
Museum , paid twice over for , collection
Museum , paid over for , collection of artefacts
British Museum , paid twice over for , same collection
Museum , paid over for , same collection of artefacts
hoard , been involved in , its transition to antiquities market
hoard , been involved in , its transition from ground to antiquities market
hoard , been involved in , its transition
hoard , been , involved
case , is , significant
case , is , particularly significant
hoard , been involved in , its transition from ground
This , is , particularly case
This , is , case
time , is in , charge of Iron Age antiquities
charge , is in , Department of Prehistoric
first artefacts , were , offered for sale through arrests to eventual excavations of artefacts
artefacts , were , when offered
artefacts , were , offered for sale to Museum through arrests to excavations
artefacts , were , offered for sale through arrests to excavations
first artefacts , were offered through , arrests to excavations of artefacts
first artefacts , were , when offered through arrests to excavations of artefacts
first artefacts , were , offered for sale to Museum through arrests to excavations
artefacts , were , offered for sale to British Museum through arrests to excavations
artefacts , were , when offered for sale to Museum through arrests to excavations
first artefacts , were , offered for sale to British Museum through arrests to excavations
first artefacts , were , when offered for sale to British Museum
first artefacts , were , offered for sale to Museum through arrests to eventual excavations of artefacts
first artefacts , were , when offered for sale to British Museum through arrests to eventual excavations
first artefacts , were , offered for sale to British Museum through arrests to eventual excavations of artefacts
artefacts , were , offered for sale to Museum through arrests to excavations of artefacts
artefacts , were offered for , sale to Museum
artefacts , were , offered for sale to Museum through arrests to eventual excavations of artefacts
first artefacts , were , when offered for sale to British Museum through arrests to eventual excavations of artefacts
artefacts , were , when offered for sale to British Museum through arrests to eventual excavations
artefacts , were , offered for sale to British Museum through arrests to excavations of artefacts
first artefacts , were , when offered for sale to Museum through arrests to eventual excavations
artefacts , were , when offered for sale to Museum through arrests to eventual excavations
artefacts , were , when offered through arrests
artefacts , were , when offered for sale through arrests to excavations
first artefacts , were , when offered for sale
first artefacts , were offered for , sale
first artefacts , were offered for , sale to British Museum
artefacts , were , when offered for sale to Museum through arrests to excavations of artefacts
first artefacts , were , offered for sale through arrests
artefacts , were , offered for sale to British Museum through arrests to eventual excavations
artefacts , were , when offered for sale through arrests to eventual excavations of artefacts
artefacts , were , offered for sale to Museum through arrests
first artefacts , were , offered for sale to Museum through arrests
artefacts , were , offered for sale to British Museum through arrests to eventual excavations of artefacts
artefacts , were , offered for sale through arrests to excavations of artefacts
first artefacts , were offered through , arrests to eventual excavations
artefacts , were offered for , sale
first artefacts , were offered through , arrests to eventual excavations of artefacts
first artefacts , were , when offered through arrests to eventual excavations
first artefacts , were offered for , sale to Museum
artefacts , were , offered for sale to Museum through arrests to eventual excavations
artefacts , were , when offered through arrests to excavations of artefacts
first artefacts , were offered through , arrests to excavations
artefacts , were , when offered for sale through arrests
artefacts , were offered through , arrests
first artefacts , were , when offered for sale to Museum through arrests to excavations of artefacts
artefacts , were , when offered for sale to British Museum through arrests to excavations of artefacts
artefacts , were , when offered through arrests to eventual excavations of artefacts
first artefacts , were , when offered for sale to Museum through arrests to excavations
artefacts , were , when offered for sale to British Museum
first artefacts , were offered through , arrests
artefacts , were , when offered for sale to Museum through arrests
artefacts , were offered through , arrests to eventual excavations
artefacts , were , when offered for sale to Museum
artefacts , were , when offered through arrests to excavations
first artefacts , were , when offered for sale through arrests
first artefacts , were , offered
first artefacts , were , offered for sale through arrests to eventual excavations
first artefacts , were , offered for sale to British Museum through arrests
artefacts , were , offered
artefacts , were , when offered for sale to British Museum through arrests to excavations
first artefacts , were , when offered through arrests to excavations
first artefacts , were , when offered for sale to British Museum through arrests
first artefacts , were , offered for sale to Museum through arrests to eventual excavations
first artefacts , were , when offered for sale through arrests to eventual excavations
first artefacts , were , when offered through arrests to eventual excavations of artefacts
artefacts , were , when offered through arrests to eventual excavations
artefacts , were , offered for sale to British Museum through arrests
artefacts , were offered through , arrests to excavations of artefacts
artefacts , were , when offered for sale to British Museum through arrests to eventual excavations of artefacts
first artefacts , were , when offered through arrests
artefacts , were offered through , arrests to excavations
first artefacts , were , offered for sale through arrests to excavations
first artefacts , were , when offered for sale to British Museum through arrests to excavations of artefacts
first artefacts , were , when offered for sale to Museum through arrests to eventual excavations of artefacts
first artefacts , were , when offered for sale to Museum
first artefacts , were , when offered
Stead , has , notes of whole experience
artefacts , were offered for , sale to British Museum
artefacts , were , offered for sale through arrests
artefacts , were offered through , arrests to eventual excavations of artefacts
artefacts , were , when offered for sale to British Museum through arrests
first artefacts , were , when offered for sale through arrests to excavations
artefacts , were , when offered for sale through arrests to excavations of artefacts
first artefacts , were , when offered for sale through arrests to excavations of artefacts
first artefacts , were , when offered for sale to Museum through arrests
first artefacts , were , offered for sale through arrests to excavations of artefacts
artefacts , were , offered for sale through arrests to eventual excavations of artefacts
first artefacts , were , offered for sale to British Museum through arrests to eventual excavations
first artefacts , were , when offered for sale through arrests to eventual excavations of artefacts
artefacts , were , when offered for sale
artefacts , were , offered for sale through arrests to eventual excavations
first artefacts , were , offered for sale to British Museum through arrests to excavations of artefacts
artefacts , were , when offered for sale to Museum through arrests to eventual excavations of artefacts
first artefacts , were , offered for sale to Museum through arrests to excavations of artefacts
first artefacts , were , when offered for sale to British Museum through arrests to excavations
artefacts , were , when offered for sale through arrests to eventual excavations
illustrating , routes of , distribution of some Salisbury Hoard artefacts
illustrating , routes of , distribution of some
illustrating , routes of , distribution
illustrating , routes of , distribution of some of Salisbury Hoard artefacts
Chart , illustrating , distribution routes of some Salisbury Hoard artefacts
Chart , illustrating , distribution routes
Chart , illustrating , distribution routes of some
Chart , illustrating , distribution routes of some of Salisbury Hoard artefacts
MacGregor , Antiquities from , Europe
East , is in , Collection of Lord McAlpine of West Green
I M Stead , by Hoard is , Antiquity 73
Christie , has , Antiquities
our , Past , London
Horsnell , was sold , stolen relics
Horsnell , was sold , relics
Pair , stealing , Daily Telegraph
Pair , stealing , Salisbury Hoard
Pair , stealing , 3 May 1995
term , is generally used , refer
term , is , used
term , is , generally used
term , is used , refer

