Researching , traffic in , objects
Hoving , notify Dr Ignacio Bernal at , Mexico 's National Museum of Anthropology of possible theft
façade , was , Mexican cultural property
façade , was , cultural property
Meyer , According to , account
Bernal , visited , Met
façade , was , property
façade , was , Mexican property
Bernal , visited Met According to , Meyer 's account
Rassiga , has , name
it , motioned to , slip of paper
Hoving , informed , him
Met policy , name , names of dealer
it , motioned to , slip
it , name , names
Rassiga , 's name is , Meyer 1973
slip , is in , his breast pocket
it , name , names of dealer
it , motioned with , his chin
it , was against , verbally Met policy
Met policy , name , names
it , was against , Met policy
it , be , returned
Noble , called , Rassiga
Rassiga , presented , Bernal
Noble , called back , Rassiga
it , be returned to , Mexico
Rassiga , suggested to , Bernal
Rassiga , allegedly suggested to , Bernal
Rassiga , allegedly suggested to , shocked Bernal
Rassiga , suggested to , shocked Bernal
Rassiga , owned house in , Mexican city of Cuernavaca
Rassiga , owned , house
Rassiga , owned house in , city
Rassiga , owned house in , Mexican city
Rassiga , owned house in , city of Cuernavaca
They , allegedly contacted , Rassiga
They , contacted , Rassiga
They , informed , him
Rassiga , subsequently returned facade to , Mexico
Rassiga , returned to , Mexico
Rassiga , subsequently returned , facade
Rassiga , subsequently returned to , Mexico
Rassiga , returned facade to , Mexico
Rassiga , returned , facade
display , is in , National Museum of Anthropology
It , is on , display in National Museum
It , is on , now display in National Museum of Anthropology
It , is on , now display in National Museum
Anthropology , is in , Mexico City
It , is on , display
It , is on , display in National Museum of Anthropology
It , is on , display in National Museum of Anthropology in Mexico City
It , is on , now display in National Museum of Anthropology in Mexico City
It , is on , now display
facade , having , having returned
archaeologist David Freidel , series of , photographs
facade , was , found within
facade , was , found
facade , is , pictured
central mask , lying on , surface
mask , lying on , surface
Freidel , Mystery of , Maya Facade
Art , of Museum is , Collections
Everett Rassiga , Website of , Metropolitan Museum
Antropolgía , Website of , Museo
Rassiga , through , hands the 1950s now in collection of Metropolitan Museum of Art
They , were , acquired
They , were acquired by , way of Nelson Rockefeller
They , were acquired by , way
Mimbres pottery , Museum of , Art n.d.
Baby Figure , is , said
Baby Figure , is , famous said
piece , is , However now known
piece , come from , Placeras
piece , However is now known , come from Placeras
piece , is , However known
site , was , indeed Placeres
site , was , Placeres
piece , is now known , come from Placeras
piece , is known , confirmed
piece , However is known , come
piece , is known , come from Placeras
piece , However is known , confirmed
piece , However is now known , confirmed
piece , is now known , come
piece , is now known , confirmed
piece , However is now known , come
piece , is , now known
piece , is , known
piece , However is known , come from Placeras
piece , is known , come
looting , was done at , time
looting , was done at , Calakmul
looting , was , done at Calakmul at time
looting , was , done
classic stela , cut into , pieces
Maya stela , cut into , pieces
classic Maya stela , cut into , pieces
stela , cut into , pieces
Sweden , of , National Museum
It , was returned in , 1994
It , was returned to , Guatemala
It , was , returned
It , was , returned to Guatemala in 1994
