numerous mummies , were mutilated by , looters looking
219 mummies , Thus transported , 2,400 artefacts
They , are housed at , Museo Leymebamba
They , are , housed
They , are , now housed
They , are now housed at , Museo Leymebamba
los Condores , Photo by , Daniel Fernandez-Davila Church
Cultural Development , is in , Helaine Silverman
Museo Leymebamba , is in , Lena Bjerregaard
1 Chullpas , are found throughout , Andes
Chullpas , are found throughout , Andes
Chullpas , are , found
1 Chullpas , are , found
They , be on , cliff
it , is , meant
an , holding , dead
2 khipu , is , series
khipu , is , series
They , represent , thing
They , represent , closest thing
we , Can link , individuals
we , know about , information
we , know about , information recorded in khipus
we , know about , information recorded
their associated artefacts , were , disarticulated
their artefacts , were , disarticulated
mummies , were , looted
