following , is , one particularly documented incidence of trafficking from Sipan
raincoat , belonging to , father man named
He , covered , them
they , arrived in , USA
Kelly , called , Art Collections Conservation Network
Kelly , receive , footlocker full
footlocker , full of , Sipán objects
Kelly , receive , footlocker
Kelly , receive , footlocker full of Sipán objects
Kelly 's deceased father , was subject , who had travelled in South America in 1920s
Kelly 's father , was subject , who had travelled in South America
Kelly 's father , was British subject , who had travelled in 1920s
father , was , British
Kelly 's deceased father , was British subject , who had travelled in South America in 1920s
Kelly 's deceased father , was British subject , who had travelled
Kelly 's deceased father , was subject , who had travelled in South America
Kelly 's deceased father , was British subject , who had travelled in 1920s
Kelly 's father , was subject , who had travelled in 1920s
Kelly 's father , was British subject , who had travelled
Kelly 's deceased father , was subject , who had travelled
Kelly 's father , was subject , who had travelled in South America in 1920s
Kelly 's father , was British subject , who had travelled in South America in 1920s
Kelly 's father , was subject , who had travelled
Kelly , has , recently deceased father
Kelly 's deceased father , was British subject , who had travelled in South America
Kelly 's deceased father , was subject , who had travelled in 1920s
Kelly 's father , was British subject , who had travelled in South America
Kelly , was , claim
Letters , were , sent
Letters , were also sent to , potential buyers
Letters , were sent to , potential buyers
Letters , were , also sent
shipment , was labelled , effects
shipment , was labelled , personal effects
men , transported Sipán objects to , home
men , transported Sipán objects to , home of Benjamin Bishop Johnson
men , transported , Sipán objects
Johnson , authenticated , shipment
he , played , role in trafficking of shipment
Kelly , contacted United States Customs agent Gaston Wallace On , 18 September 1987
he , role in , trafficking of large shipment
he , played role into , Kirkpatrick 1992
he , role in , trafficking
he , role in , trafficking of large shipment of undocumented antiquities
he , played , role in trafficking of shipment of antiquities
he , played , role in trafficking of large shipment
he , played , role in trafficking
he , played role into , United States
he , role in , trafficking of shipment of undocumented antiquities
he , role in , trafficking of shipment
he , played , role in trafficking of large shipment of antiquities
role , is in , trafficking of large shipment of undocumented antiquities
he , played , role in trafficking of shipment of undocumented antiquities
he , played , role in trafficking of large shipment of undocumented antiquities
he , played , role
he , role in , trafficking of large shipment of antiquities
Kelly , contacted , United States Customs agent Gaston Wallace
he , role in , trafficking of shipment of antiquities
Kelly , pay for , funeral
Kelly , was , unable
Kelly , pay for , airfare back
Kelly , pay for , airfare
Kelly , pay for , airfare back to UK
his father , died in , 1986
Kelly , for , plane tickets
Kelly , collect , Peruvian objects
father , on , death
father , 's death is , Atwood 2004
Kelly , collect , exported objects
Kelly , collect , illegally exported objects
Kelly , collect , exported objects in London
Kelly , provide , false provenance
Kelly , collect , objects in London
Kelly , provide , false provenance based
Kelly , collect , illegally exported Peruvian objects in London
Kelly , collect , illegally exported Peruvian objects
Kelly , collect , exported Peruvian objects in London
Kelly , collect , illegally exported objects in London
Kelly , provide , false provenance based on his father 's death
exported Peruvian objects , is in , London
Kelly , collect , objects
Swetnam , offered , pay
Kelly , collect , Peruvian objects in London
Kelly , collect , exported Peruvian objects
Swetnam , pay for , Kelly 's plane tickets
Swetnam , offered , pay for Kelly 's plane tickets
he , joining , smuggling operation
informant , was , initiated
confidential informant , was , initiated
informant , initiated , federal investigation
confidential informant , initiated , investigation
He , agreed , become
confidential informant , initiated , federal investigation
informant , initiated , investigation
1988 US Customs , series on , targets identified through recordings made
US Customs , series on , targets identified through secret recordings made
1988 US Customs , conducted , series of raids on targets identified through recordings made by Kelly
US Customs , conducted , series of raids on targets identified through recordings
1988 US Customs , conducted , series of raids on targets identified through secret recordings made by Kelly
1988 US Customs , conducted , series of raids on targets identified through recordings made
1988 US Customs , conducted , series of raids on targets identified through secret recordings made
1988 US Customs , conducted , series of raids on targets identified through recordings
US Customs , conducted , series
1988 US Customs , series on , targets identified
1988 US Customs , conducted , series on targets
US Customs , conducted , series of raids
US Customs , conducted , series on targets identified through secret recordings made by Kelly
1988 US Customs , conducted , series on targets identified through recordings made by Kelly
US Customs , conducted , series on targets identified through secret recordings
US Customs , series on , targets identified through secret recordings
US Customs , conducted , series on targets identified through secret recordings made
1988 US Customs , conducted , series of raids on targets identified
US Customs , conducted , series of raids on targets identified through recordings made by Kelly
1988 US Customs , conducted , series on targets identified through recordings
1988 US Customs , series on , targets identified through recordings
1988 US Customs , conducted , series on targets identified through recordings made
1988 US Customs , conducted , series of raids on targets identified through secret recordings
1988 US Customs , series on , targets identified through secret recordings made
US Customs , conducted , series on targets identified through recordings made
US Customs , conducted , series of raids on targets identified
US Customs , series on , targets
1988 US Customs , series on , targets identified through secret recordings
1988 US Customs , series on , targets
US Customs , series of , raids
US Customs , conducted , series of raids on targets identified through secret recordings made by Kelly
1988 US Customs , conducted , series
US Customs , series on , targets identified through secret recordings made by Kelly
US Customs , conducted , series on targets identified through recordings made by Kelly
US Customs , conducted , series of raids on targets
US Customs , series on , targets identified through recordings made
US Customs , conducted , series of raids on targets identified through recordings made
1988 US Customs , conducted series On , 30 March
US Customs , conducted , series on targets
1988 US Customs , series on , targets identified through recordings made by Kelly
US Customs , series on , targets identified through recordings made by Kelly
US Customs , conducted , series on targets identified
1988 US Customs , conducted , series on targets identified through secret recordings
1988 US Customs , conducted , series on targets identified through secret recordings made by Kelly
1988 US Customs , conducted , series of raids on targets
1988 US Customs , conducted , series of raids
US Customs , series on , targets identified
1988 US Customs , conducted , series on targets identified through secret recordings made
US Customs , conducted , series of raids on targets identified through secret recordings made
US Customs , conducted , series on targets identified through recordings
US Customs , conducted series On , 30 March
US Customs , series on , targets identified through recordings
1988 US Customs , series of , raids
1988 US Customs , conducted , series on targets identified
1988 US Customs , series on , targets identified through secret recordings made by Kelly
US Customs , conducted , series of raids on targets identified through secret recordings
retired Crocker Bank executive Charles Craig , is in , Santa Barbara
home , was Among , properties
home , was Among , properties raided
Papers , found in , Craig 's home
Craig , in , home
Collector , 's Choice is , Atwood 2004 87
Collector , has , Choice
raid , is in , exhibit entitled
objects , been , Thus would have placed
objects , been , within four months removed would have placed on view in US museum
objects , been , Thus within four months removed from ground would have placed on view in US museum
objects , been , Thus within four months would have placed
objects , been , Thus within four months would have placed on view in US museum
objects , been , within four months removed would have placed on view
objects , been , Thus within four months removed would have placed on view in US museum
objects , been , Thus within four months removed would have placed on view
view , is in , US museum
objects , been , within four months would have placed on view in US museum
objects , been , Thus would have placed on view
objects , been , Thus would have placed on view in US museum
objects , been , would have placed on view
objects , been , within four months would have placed on view
objects , been , within four months removed from ground would have placed on view
objects , been , within four months removed from ground would have placed
objects , been , Thus within four months would have placed on view
objects , been , would have placed
objects , been , Thus within four months removed would have placed
objects , been , within four months removed would have placed
objects , been , within four months removed from ground would have placed on view in US museum
objects , been , Thus within four months removed from ground would have placed on view
objects , been , Thus within four months removed from ground would have placed
objects , been , would have placed on view in US museum
objects , been , within four months would have placed
Jacqueline , were charged with , ten counts
Jacqueline , were , charged
Jacqueline , were charged with , ten counts of conspiracy
Swetnam , plead , guilty to three counts receiving
Swetnam , plead , guilty to three counts
Swetnam , agreed , plead
Swetnam , plead , guilty
Swetnam , was , On 26 June 1989 sentenced to six months
six months , is in , prison
Swetnam , was , On 26 June 1989 sentenced to six months in prison
Swetnam , was sentenced to , six months in prison
Swetnam , was sentenced to , six months
Swetnam , was sentenced On , 26 June 1989
Swetnam , was , sentenced
He , served , four months of sentence
He , served , four months
St. Martin , has , Press
Kirkpatrick , Lords of , Sipán
some , were later identified from , site of Sipán
some , were purchased in , United States
some , were identified from , site of Sipán
some , were , purchased
some , were identified from , site
some , were purchased in , 1987
some , were later identified from , site
some , were , purchased in United States in 1987
informative studies , is in , cultural objects
contents , were smuggled out of , Peru
contents , were , smuggled
Peruvian antiquities , offered for , sale
antiquities , offered for , sale Sotheby Auction House
Peruvian antiquities , offered for , sale Sotheby Auction House
Several Peruvian antiquities , offered for , sale Sotheby Auction House
Sotheby , at , Auction House
Several antiquities , offered for , sale
Several Peruvian antiquities , offered for , sale
antiquities , offered for , sale
Several antiquities , offered for , sale Sotheby Auction House
