Maya city , looted in , objects
Maya wooden lintel , looted from , site of El Zotz
Classic Maya lintel , looted from , site
carved wooden lintel , looted from , site of El Zotz in late 1960s
Classic lintel , looted from , site of El Zotz
Classic Maya wooden lintel , looted from , site in late 1960s
Maya lintel , looted from , site of El Zotz in 1960s
Maya carved wooden lintel , looted from , site in 1960s
Classic carved lintel , looted from , site in late 1960s
Maya carved lintel , looted from , site in 1960s
Classic carved wooden lintel , looted from , site of El Zotz
Classic Maya carved wooden lintel , looted from , site in 1960s
lintel , looted from , site of El Zotz in 1960s
Classic lintel , looted from , site
Maya lintel , looted from , site in 1960s
wooden lintel , looted from , site of El Zotz in 1960s
carved wooden lintel , looted from , site in 1960s
carved lintel , looted from , site in late 1960s
Maya lintel , looted from , site of El Zotz in late 1960s
Classic Maya carved wooden lintel , looted from , site of El Zotz
Maya carved lintel , looted from , site of El Zotz in 1960s
Maya carved wooden lintel , looted from , site in late 1960s
Classic Maya carved wooden lintel , looted from , site
wooden lintel , looted from , site
Maya wooden lintel , looted from , site
Classic carved lintel , looted from , site
Classic carved wooden lintel , looted from , site of El Zotz in 1960s
Classic wooden lintel , looted from , site of El Zotz
lintel , looted from , site of El Zotz in late 1960s
site , is in , late 1960s
lintel , looted from , site of El Zotz
Classic Maya lintel , looted from , site in 1960s
carved lintel , looted from , site
Classic lintel , looted from , site in 1960s
Classic wooden lintel , looted from , site in late 1960s
Maya wooden lintel , looted from , site of El Zotz in 1960s
Classic lintel , looted from , site of El Zotz in 1960s
Maya carved lintel , looted from , site of El Zotz
Classic wooden lintel , looted from , site of El Zotz in 1960s
lintel , looted from , site in late 1960s
Classic Maya carved lintel , looted from , site in 1960s
Maya carved lintel , looted from , site of El Zotz in late 1960s
carved wooden lintel , looted from , site
Maya wooden lintel , looted from , site in late 1960s
Classic wooden lintel , looted from , site in 1960s
Classic Maya carved wooden lintel , looted from , site in late 1960s
carved lintel , looted from , site of El Zotz in late 1960s
Classic Maya wooden lintel , looted from , site of El Zotz in late 1960s
wooden lintel , looted from , site in late 1960s
Classic Maya lintel , looted from , site of El Zotz in 1960s
Maya lintel , looted from , site in late 1960s
carved wooden lintel , looted from , site in late 1960s
Maya carved wooden lintel , looted from , site
Classic Maya carved lintel , looted from , site of El Zotz in 1960s
Classic Maya wooden lintel , looted from , site in 1960s
carved lintel , looted from , site in 1960s
Classic carved lintel , looted from , site of El Zotz
Classic carved lintel , looted from , site in 1960s
lintel , looted from , site
Maya wooden lintel , looted from , site in 1960s
Classic Maya carved lintel , looted from , site in late 1960s
carved lintel , looted from , site of El Zotz
Classic wooden lintel , looted from , site of El Zotz in late 1960s
carved lintel , looted from , site of El Zotz in 1960s
Maya carved lintel , looted from , site in late 1960s
Maya carved wooden lintel , looted from , site of El Zotz in late 1960s
Maya carved wooden lintel , looted from , site of El Zotz in 1960s
Classic wooden lintel , looted from , site
Classic carved lintel , looted from , site of El Zotz in late 1960s
Classic Maya lintel , looted from , site of El Zotz
lintel , looted from , site in 1960s
Classic Maya carved lintel , looted from , site
Classic Maya wooden lintel , looted from , site
Maya carved lintel , looted from , site
carved wooden lintel , looted from , site of El Zotz in 1960s
Classic carved wooden lintel , looted from , site of El Zotz in late 1960s
Maya carved wooden lintel , looted from , site of El Zotz
Classic Maya carved lintel , looted from , site of El Zotz
wooden lintel , looted from , site of El Zotz in late 1960s
Classic Maya lintel , looted from , site in late 1960s
Classic Maya carved wooden lintel , looted from , site of El Zotz in 1960s
wooden lintel , looted from , site in 1960s
Maya lintel , looted from , site of El Zotz
Classic Maya wooden lintel , looted from , site of El Zotz in 1960s
Classic carved wooden lintel , looted from , site in 1960s
Classic carved lintel , looted from , site of El Zotz in 1960s
Classic Maya lintel , looted from , site of El Zotz in late 1960s
Classic Maya carved lintel , looted from , site of El Zotz in late 1960s
wooden lintel , looted from , site of El Zotz
Classic carved wooden lintel , looted from , site
Classic Maya carved wooden lintel , looted from , site of El Zotz in late 1960s
Classic carved wooden lintel , looted from , site in late 1960s
Maya wooden lintel , looted from , site of El Zotz in late 1960s
Classic lintel , looted from , site of El Zotz in late 1960s
Classic lintel , looted from , site in late 1960s
carved wooden lintel , looted from , site of El Zotz
Maya lintel , looted from , site
