global traffic , is in , looted objects
they , will , in other words will returned to Te Āti Awa iwi for likely preservation at Puke Ariki
panels , were , In March 2015 returned to Te Āti Awa iwi
panels , be , conserved
panels , were returned In , March 2015
panels , were returned to , Te Āti Awa iwi
panels , were , In March 2015 returned to Te Āti Awa iwi in Taranaki
panels , were , returned
display , is in , Puke Ariki Museum
Te Āti Awa iwi , is in , Taranaki
panels , were returned to , Te Āti Awa iwi in Taranaki
Christopher Motunui Panels , Returned to , New Zealand ' National Party Press Release
Christopher Motunui Panels , Returned to , New Zealand ' National Party Press Release 4 July
Fleming , restore , epa
Fleming , restore , ancient epa
Harvey treasure , is close to , home
Harvey Buried treasure , is close to , home
Harvey Motunui panels , returned , to
Panels , returned home in , legendary fashion
Panels , returned home in , fashion
Panels , returned in , legendary fashion TVNZ 4 July
Panels , returned in , fashion
Panels , returned in , legendary fashion
Panels , returned in , fashion TVNZ 4 July
Panels , returned home at_time , 2014
Panels , returned at_time , TVNZ
Panels , returned home in , fashion TVNZ 4 July
Panels , returned home at_time , TVNZ
Panels , returned home in , legendary fashion TVNZ 4 July
Panels , returned at_time , 2014
consultation , is with , Māori groups in area
Māori groups , is in , area
people , put carvings in , swamp
people , put carvings with , idea of day
old people , put , carvings
old people , put carvings in , swamp
people , put , carvings
people , put carvings with , idea
old people , put carvings with , idea
old people , put carvings with , idea of day
they , put , them
they , put there , them
consensus opinion , should , should examined
panels , were deposited with , intent of future recovery
Archaeologists , gave , their assurances
Māori participation , is in , excavations
panels , were , deposited
panels , were deposited with , intent
Lance Entwistle , are behind , L
