Researching , traffic in , objects
I , came into , possession
I , Sometime came by , way of vagabond acquaintance
I , came by , way of vagabond acquaintance
I , came by , way
I , Sometime came into , possession
I , Sometime came by , way
He , acquiring , it
I , have , great interest
I , have , interest
continent , for , native culture
It , has out of , has leather
has soft leather , covering , I
It , has out of , has soft leather
has leather , covering , I
I , received , it
It , has out of , has rarely soft leather
It , has out of , has rarely leather
it , be piece of , Pilling Figurine
it , be , piece
I , told of , my desire
it , be missing piece of , Pilling Figurine
it , be , missing piece
I , am , very excited at prospect of it returned to its place
I , am very excited at , prospect
I , am , very excited at prospect of it returned
I , am , excited at prospect of it returned to its proper place
I , am , very excited
I , am , excited
I , am , very excited at prospect of it returned to its proper place
I , am , excited at prospect of it returned
I , am very excited at , prospect of it
I , am , excited at prospect of it returned to its place
I , am excited at , prospect of it
I , am excited at , prospect
possible match , is with , missing eleventh figurine
preliminary comparison , hinted at , possible match with missing eleventh figurine
comparison , hinted at , possible match
preliminary comparison , hinted at , possible match with eleventh figurine
preliminary comparison , hinted at , possible match
comparison , hinted at , possible match with eleventh figurine
comparison , hinted at , possible match with missing eleventh figurine
Pitblado , sought , expertise of multidisciplinary group of scholars
Pitblado , sought , expertise of group of scholars
Pitblado , sought , expertise
Pitblado , sought , expertise of multidisciplinary group
Pitblado , sought , expertise of group
object , be , fake
figurine , belonged with , Pilling Collection
James Adovasio , expert from , Mercyhurst College
he , examining , mate of figurine
he , examining , female mate
he , examining , female mate of missing figurine
he , examining , mate
he , examining , female mate of figurine
he , found , basket impression patterns
he , believes , that
he , examining , mate of missing figurine
figurine , delivered to , Pitblado
pigments , found on , Pilling Collection pieces
clay , came , pigment
clay , came In , other words
clay , came In , words
clay , came from , source
clay , came from , same source
signature , is like , that
signature , is like , Furthermore that
signature , is like , Furthermore more that
signature , is like , more that
Steve Nelson , confirm , presence
Steve Nelson , confirm , presence of lacquer called on returned figurine
Steve Nelson , used , scanning electron microscope
Steve Nelson , confirm , presence of lacquer called
Steve Nelson , confirm , presence of lacquer
Steve Nelson , geochemist at , Brigham Young University
Steve Nelson , confirm , presence of lacquer called on figurine
eleven figurines , were , treated
they , were , were studied at Peabody Museum
eleven figurines , were treated in , 1950
This , is , significant
it , is , known
they , were , were studied
Molly Boeka Cannon , ran , forensic fingerprint tests on prints
Molly Boeka Cannon , ran , fingerprint tests
Molly Boeka Cannon , ran , fingerprint tests on prints found
Molly Boeka Cannon , ran , forensic fingerprint tests
Utah State University , of , geospatial anthropology lab
Molly Boeka Cannon , ran , forensic fingerprint tests on prints found
Molly Boeka Cannon , ran , fingerprint tests on prints
returned figurine , is considered , artefact from Pilling Collection
figurine , is considered , missing artefact from Pilling Collection
figurine , be , artefact
figurine , be missing artefact from , Pilling Collection
figurine , be , missing artefact
figurine , is considered , missing artefact
figurine , is considered , artefact from Pilling Collection
returned figurine , be missing artefact from , Pilling Collection
returned figurine , is considered , missing artefact
returned figurine , is considered , missing artefact from Pilling Collection
returned figurine , be , missing artefact
figurine , be artefact from , Pilling Collection
figurine , is , considered
figurine , is considered , artefact
returned figurine , is considered , artefact
returned figurine , be , artefact
figurine , is considered Based on , results
returned figurine , be artefact from , Pilling Collection
returned figurine , is considered Based on , results
returned figurine , is , considered
other ten figurines , is in , Collection
It , is on , now display at Utah State University Eastern Prehistoric Museum
It , is on , display
It , is on , display at Utah State University Eastern Prehistoric Museum
It , is on , now display
archaeologists , have located , Fremont features near Pilling Site
archaeologists , have located , other Fremont features
archaeologists , have located , other Fremont cultural features
figurines , were , found
archaeologists , have located , other Fremont features near Pilling Site
archaeologists , have located , Fremont features
Pilling Site , College of , Eastern Utah Prehistoric Museum n.d.
archaeologists , have located , Fremont cultural features
archaeologists , have located , other Fremont cultural features near Pilling Site
figurines , were , on which found
archaeologists , have located , Fremont cultural features near Pilling Site
provenance , of chains is , ease
object , of , true importance
cultural objects , can have in , market
objects , can have in , market
study , is , good
Eastern Utah Prehistoric Museum , of College is , n.d.
http://www.ceu.edu/museum/files/uploads/Pilling%20Figurines%20Handout.pdf , accessed , 8 September 2012
_ clay_figurines_pilling_collection.html , accessed , 8 September 2012
ches/fremont _ clay_figurines_pilling_collection.html , accessed , 8 September 2012
http://www.sltrib.com/sltrib/news/53879624-78/figurine-pitblado-pilling-figurines.html.csp , accessed , 8 September 2012
delivery , be , long-lost Fremont figurine
Opsahl , Tale of , stolen artifact
delivery , be , Fremont figurine
Anonymous delivery , be , Fremont figurine
Anonymous delivery , be , long-lost Fremont figurine
http://news.hjnews.com/news/education/article_bc29cc3c-8c2e-11e1-964e-0019bb2963f4.html , accessed , 8 September 2012
http://www.ksl.com/?nid=148&sid=20117209 , accessed , 9 September 2012
figurine , was , lost
figurine , was lost in , sometime 1960s
figurine , was lost in , 1960s
figurine , was lost in , 1960s for example Maffly 2012
figurine , was lost in , sometime 1960s for example Maffly 2012
complete collection , is in , 1973
one figurine , is in , 1974 point
