looted archaeological site , is in , looted objects
US agents , raided premises on , suspicion dealing in illegally-exported artefacts
US federal agents , premises of , two antiquities dealerships
US federal agents , enabling , conspiracy
US federal agents , raided , premises
US federal agents , raided premises on , suspicion dealing
US agents , raided premises on , suspicion dealing
US federal agents , raided premises on , suspicion
US agents , raided , premises
US agents , raided premises on , suspicion dealing in illegally-exported archaeological artefacts
US federal agents , raided premises on , suspicion dealing in archaeological artefacts
US agents , raided premises on , suspicion
US agents , premises of , two antiquities dealerships
US federal agents , raided , premises of two antiquities dealerships
US agents , raided premises In , January 2008
US agents , raided premises on , suspicion dealing in artefacts
US federal agents , raided premises on , suspicion dealing in artefacts
US federal agents , raided premises on , suspicion dealing in illegally-exported artefacts
US federal agents , raided premises In , January 2008
