Researching , traffic in , objects
Classic mask , looted from , site of Río Azul
Classic funerary mask , looted from , Guatemalan site of Río Azul
Classic Maya funerary mask , apparently looted from , Guatemalan site
mask , apparently looted from , Guatemalan site of Río Azul
mask , looted from , site of Río Azul
Classic mask , apparently looted from , Guatemalan site of Río Azul
Classic Maya mask , apparently looted from , site
Classic funerary mask , looted from , site of Río Azul
Maya mask , looted from , Guatemalan site
funerary mask , apparently looted from , Guatemalan site
funerary mask , looted from , Guatemalan site
Classic mask , looted from , site
Classic Maya funerary mask , apparently looted from , site
Maya mask , apparently looted from , Guatemalan site
Maya funerary mask , apparently looted from , site of Río Azul
Classic funerary mask , apparently looted from , site
Classic Maya vase , is in , now Detroit Institute of Arts
Guatemalan site , is in , late 1970s
