global traffic , is in , looted objects
It , was bought by , Metropolitan Museum
It , is thought , have excavated in 1971
It , is thought , have excavated in Italy in 1971
It , was , bought by Metropolitan Museum of Art in 1972 for record-breaking price
It , was , bought by Metropolitan Museum of Art in 1972 for then price
It , is thought , have excavated illegally
It , is now thought , have excavated illegally in Italy in 1971
It , is now thought , have excavated illegally
It , was , bought by Metropolitan Museum of Art in 1972 for price
It , is thought , have excavated
It , was bought in , 1972 for record-breaking price
It , was , bought by Metropolitan Museum in 1972 for then price
It , was bought in , 1972 for then record-breaking price
It , is thought , have excavated illegally in 1971
It , is , thought
It , is now thought , have excavated illegally in Italy
It , was bought in , 1972 for price
It , was , bought
It , is now thought , have excavated in 1971
It , was , bought by Metropolitan Museum of Art in 1972 for then record-breaking price
It , was bought in , 1972 for then price
Metropolitan , restored , ownership
Metropolitan , restored ownership In , 2006
Metropolitan , restored , ownership of krater to Italy
Metropolitan , restored , ownership of krater
J. Paul Getty Museum , returned On , 5 February 1999
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three artifacts
J. Paul Getty Museum , being , informed
they , been , stolen
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three objects
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , investigations
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations into illicit trading
Artefacts , returned in , 2007
Artefacts , returned after , investigations into trading
Artefacts , returned after , Italian investigations
Marion True , was Curator from , 1986 until 2005
Marion True , was , Curator at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator
Marion True , was , Curator at J.Paul Getty Museum from 1986 until 2005
Marion True , was Curator at , J.Paul Getty Museum
J.Paul Getty Museum , is in , Los Angeles
Marion True , was , Curator of Antiquities at J.Paul Getty Museum from 1986 until 2005
Marion True , was , Curator of Antiquities from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles
Marion True , was Curator of , Antiquities
Marion True , was , Curator of Antiquities at J.Paul Getty Museum
Marion True , was Curator at , J.Paul Getty Museum in Los Angeles
She , was , charged
She , tried on , offences related
She , tried on , offences
She , tried in , Italy
She , tried on , offences related to antiquities smuggling
informative studies , is in , cultural objects
organigram , is handwritten chart , recovered
organigram , is handwritten chart , recovered in September 1995
organigram , is chart , recovered in September 1995 during Carabinieri raid
organigram , is handwritten organizational chart , recovered during Carabinieri raid
organigram , is chart , recovered in September 1995
organigram , is handwritten chart , recovered in September 1995 during Carabinieri raid
organigram , is organizational chart , recovered in September 1995 during Carabinieri raid
organigram , is handwritten organizational chart , recovered in September 1995 during Carabinieri raid
organigram , is handwritten organizational chart , recovered in September 1995
organigram , is organizational chart , recovered in September 1995
organigram , is , handwritten
organigram , is , organizational
organigram , is handwritten organizational chart , recovered
organigram , is organizational chart , recovered during Carabinieri raid
organigram , is organizational chart , recovered
organigram , is chart , recovered during Carabinieri raid
organigram , is handwritten chart , recovered during Carabinieri raid
organigram , is chart , recovered
Toledo Museum , returned In , January 2013
Tombarolo , is , term
Tombarolo , is , Italian term derived from word
Italian term , derived from , word
Tombarolo , is , Italian term derived
Italian term , derived from , Italian word
Tombarolo , is , Italian term derived from Italian word
Tombarolo , is , Italian
Italian term , meaning , tomb
Tombarolo , is , Italian term
Tombarolo , is , term derived from word
term , derived from , Italian word
term , meaning , tomb
Tombarolo , is , term derived
Tombarolo , is , term derived from Italian word
term , derived from , word
Collection , donated to , National Archaeological Museum
Collection , donated in , 1999
Collection , donated to , National Archaeological Museum of Spain
2nd century Roman statue , looted from , Italy
2nd century Roman statue , acquired in , 1979
century Roman statue , acquired in , 1979
century Roman statue , acquired by , Boston Museum
2nd century Roman statue , returned to , Italy
century Roman statue , looted from , Italy
2nd century Roman statue , acquired by , Boston Museum of Fine Arts
2nd century Roman statue , returned in , 2006
century Roman statue , returned to , Italy
century Roman statue , returned in , 2006
2nd century Roman statue , acquired by , Boston Museum
century Roman statue , acquired by , Boston Museum of Fine Arts
