Trafficking Culture , Researching , global traffic in objects Also known as Getty Museum Returns
Munich , of Savoca is , Watson
Other pieces , were obtained from , Schweitzer collection
pieces , were obtained from , Schweitzer collection of Arlesheim
Other pieces , were obtained from , Schweitzer collection of Arlesheim
pieces , were , obtained
pieces , were obtained from , Schweitzer collection
Other pieces , were , obtained
Hydra Gallery , is now thought , have been acting as front
Hydra Gallery , acting as , front for dealer Giacomo Medici
Hydra Gallery , is now thought , have been acting
Hydra Gallery , is thought , have been acting
Hydra Gallery , is thought , have been acting as front for dealer Giacomo Medici
Hydra Gallery , is thought , have been acting as front
Hydra Gallery , is , now thought
Hydra Gallery , is , thought
Hydra Gallery , is now thought , have been acting as front for dealer Giacomo Medici
Hydra Gallery , acting as , front
Boursaud , provided as , provenance
Metropolitan Museum , by , Dietrich von Bothmer
Medici , handed over , pieces shown in photograph in April 1999
rest , had , had returned
photograph , is in , April 1999
Medici , handed over , pieces shown in photograph
Medici , handed over , pieces shown
pieces , shown in , photograph
Medici , handed over , pieces
original , was , found
pieces , shown in , photograph April 1999
rest , had , had returned to Italy
Carabinieri , raided , his Geneva storerooms
Medici storerooms , contained , photographs
Medici storerooms , also contained , photographs of fragments
Medici storerooms , contained , photographs of fragments
Getty , own , showing
Medici storerooms , also contained , photographs
Medici , through , hands
kylix , been excavated illegally in , fact
kylix , been excavated illegally from , cemetery of Cerveteri
kylix , been excavated illegally from , Etruscan cemetery of Cerveteri
kylix , had , excavated illegally from cemetery
kylix , been , in fact excavated from Etruscan cemetery of Cerveteri
its , return , Rizzo 1997
kylix , been , in fact excavated from cemetery of Cerveteri
kylix , had , excavated illegally from Etruscan cemetery of Cerveteri
kylix , had , in fact excavated illegally from cemetery of Cerveteri
kylix , been , in fact excavated from cemetery
kylix , been excavated from , cemetery
kylix , had , in fact excavated from cemetery of Cerveteri
kylix , had , excavated from cemetery of Cerveteri
kylix , been excavated from , Etruscan cemetery of Cerveteri
kylix , had , in fact excavated illegally from cemetery
kylix , been excavated from , Etruscan cemetery
kylix , been excavated illegally from , Etruscan cemetery
kylix , had , in fact excavated from cemetery
kylix , had , in fact excavated
kylix , been , excavated illegally
kylix , been excavated from , cemetery of Cerveteri
kylix , had , excavated from Etruscan cemetery
kylix , been , in fact excavated from Etruscan cemetery
kylix , had , in fact excavated from Etruscan cemetery of Cerveteri
kylix , been excavated in , fact
kylix , had , in fact excavated from Etruscan cemetery
kylix , had , excavated illegally
Viterbo University , is in , Italy
kylix , been , in fact excavated illegally from Etruscan cemetery of Cerveteri
kylix , had , excavated illegally from cemetery of Cerveteri
kylix , been , in fact excavated illegally from cemetery of Cerveteri
kylix , been , in fact excavated illegally from Etruscan cemetery
kylix , had , excavated
kylix , had , excavated from cemetery
kylix , had , excavated from Etruscan cemetery of Cerveteri
kylix , been , excavated
kylix , been excavated illegally from , cemetery
kylix , had , excavated illegally from Etruscan cemetery
kylix , been , in fact excavated illegally from cemetery
kylix , had , in fact excavated illegally
Getty , receiving , information
Getty , receiving , corroborating information from Italy
Getty , receiving , information from Italy
Getty , receiving , corroborating information
Getty , complied with , Felch
Getty , complied with , her request
her , request , Felch
It , was later discovered , part
It , be , part
It , was , later discovered
It , was discovered , part
It , was , discovered
statue , been deliberately broken after , theft
statue , been , after theft broken into pieces
statue , been , deliberately broken
statue , facilitate , its sale
statue , been deliberately broken into , pieces
statue , been , broken
statue , been , after theft deliberately broken into pieces
statue , been broken after , theft
statue , been broken into , pieces
It , was later discovered , have stolen from excavation storeroom
It , was later discovered , have stolen from official excavation storeroom at Venosa
It , been stolen at , Venosa
It , was later discovered , have stolen at Venosa
It , was discovered , have stolen from excavation storeroom at Venosa
It , was later discovered , have stolen from excavation storeroom at Venosa
It , been , stolen
It , was discovered , have stolen from excavation storeroom
It , was discovered , have stolen from official excavation storeroom
It , been stolen from , official excavation storeroom
It , was discovered , have stolen at Venosa
It , was discovered , have stolen from official excavation storeroom at Venosa
It , been stolen at , Lee 1999
It , was , later discovered
It , been , stolen from official excavation storeroom at Venosa
It , was later discovered , have stolen
It , was discovered , have stolen
It , been , stolen from excavation storeroom at Venosa
It , was , discovered
It , was later discovered , have stolen from official excavation storeroom
It , been stolen from , excavation storeroom
World , 's Museum is , New York
World , at , Richest Museum
Getty , returns , three works 1
Getty , returns , three stolen works 1
Getty , returns , 90
Getty , returns , 3
Getty , returns , Art Newspaper
Marion True , in Williams is , Dyfri
Marion True , in Williams is , Onesimos
Williams , is in , Marion True
Greek Vases , is in , J. Paul Getty Museum
Volume 5 , Papers in , Antiquities 7
Occasional Papers , is in , Antiquities 7
Giacomo Medici , illegal export of , goods
Giacomo Medici , conspiracy to , traffic
Medici , is , Italian
Giacomo Medici , export of , goods
J. Paul Getty Museum , returned to , Italy
J. Paul Getty Museum , returned , three objects
Artefacts , returned after , Italian investigations into trading
Artefacts , returned to , Italy
Artefacts , returned after , Italian investigations into illicit trading
Artefacts , returned after , investigations
Artefacts , returned after , investigations into illicit trading
Artefacts , returned after , investigations into trading
Artefacts , returned in , 2007
Artefacts , returned after , Italian investigations
Marion True , was Curator from , 1986 until 2005
Marion True , was , Curator at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles from 1986 until 2005
Marion True , was , Curator
Marion True , was , Curator at J.Paul Getty Museum from 1986 until 2005
Marion True , was Curator at , J.Paul Getty Museum
J.Paul Getty Museum , is in , Los Angeles
Marion True , was , Curator of Antiquities at J.Paul Getty Museum from 1986 until 2005
Marion True , was , Curator of Antiquities from 1986 until 2005
Marion True , was , Curator of Antiquities at J.Paul Getty Museum in Los Angeles
Marion True , was Curator of , Antiquities
Marion True , was , Curator of Antiquities at J.Paul Getty Museum
Marion True , was Curator at , J.Paul Getty Museum in Los Angeles
She , was , charged
She , tried on , offences related
She , tried on , offences
She , tried in , Italy
She , tried on , offences related to antiquities smuggling
Tombarolo , is , term
Tombarolo , is , Italian term derived from word
Italian term , derived from , word
Tombarolo , is , Italian term derived
Italian term , derived from , Italian word
Tombarolo , is , Italian term derived from Italian word
Tombarolo , is , Italian
Italian term , meaning , tomb
Tombarolo , is , Italian term
Tombarolo , is , term derived from word
term , derived from , Italian word
term , meaning , tomb
Tombarolo , is , term derived
Tombarolo , is , term derived from Italian word
term , derived from , word
