San Andrés de Machaca , is located in , 230 km from city
he , handling for , American collector
Washington-based art dealer , consulted Art Loss Register with , questions about provenance
Washington-based art dealer , consulted Art Loss Register In , May 2011
Washington-based art dealer , consulted , Art Loss Register
he , handling for , collector
art dealer , consulted Art Loss Register with , questions about provenance
Washington-based art dealer , consulted Art Loss Register with , questions about provenance of two period
Washington-based art dealer , consulted Art Loss Register with , questions about provenance of two colonial period
art dealer , consulted Art Loss Register with , questions about provenance of two period
art dealer , consulted Art Loss Register In , May 2011
he , handling for , BBC 2011
art dealer , consulted Art Loss Register with , questions
auction , is in , London
Researchers , were , able
Researchers , positively identify , two paintings
Researchers , identify , two paintings
paintings , were , On 12 September 2011 returned to Bolivian Embassy
paintings , were returned in , London
paintings , were , returned
paintings , were , On 12 September 2011 returned in London
paintings , were , returned to Bolivian Embassy in London
paintings , were returned On , 12 September 2011
paintings , were returned to , Bolivian Embassy
paintings , were , On 12 September 2011 returned to Bolivian Embassy in London
paintings , be , are returned to Templo de San Andrés
paintings , be , are returned to Templo San Andrés
paintings , being , restored
paintings , be , are returned
church , of restoration is , Cuevas 2011
mayor , requested , government funding for restoration of church
mayor , requested , government funding for restoration
mayor , requested , government funding
final designs , were , delivered to Mamani in March 2012
designs , were delivered to , Mamani
designs , were delivered in , March 2012
final designs , were delivered to , Mamani
designs , were , delivered
final designs , were delivered in , March 2012
final designs , were , delivered
designs , were , delivered to Mamani in March 2012
plan , promote , tourism development
plan , promote , cultural tourism development
plan , promote tourism development for , municipality
photographs , are online via , Interpol
photographs , are available online via , Interpol
photographs , are , online
photographs , are , available online
They , were painted , mounted on wooden racks
They , were painted , mounted on racks
They , were painted on , canvas from packing bales
They , mounted on , wooden racks
They , were painted on , canvas
They , were painted on , reused canvas from packing bales
They , were painted on , reused canvas from European packing bales
They , were , painted
They , were painted , mounted
They , were painted on , reused canvas
They , were painted on , canvas from European packing bales
They , mounted on , racks
They , mounted on , Cuevas 2011
Lupe Meneses , director of , cataloguing with Bolivian Ministry
they , were developed by , Indigenous people
significant time , is in , Bolivian history
Lupe Meneses , has emphasised , importance
they , were developed by , people
they , were , developed
Stolen , is in , Bolivia
two paintings , stolen from , church
http://www.bbc.co.uk/news/world-latin-america-14977757 , accessed on , 22 August 2012
Machaca , de , Instituto Nacional de Estadística
http://www.ine.gob.bo/publicaciones/visorPdf.aspx?Codigo=020805&tipo=1 , accessed , 22 August 2012
Machaca , ' , Caracol Radio
Machaca , ' Radio is , 21 August
http://www.caracol.com.co/noticias/roban-47-obras-de-arte-de-san-andres-de-machaca/20080821/nota/655739.aspx , accessed , 22 August 2012
http://www.laprensa.com.bo/diario/entretendencias/cultura/20111008/lienzos-rescatados-estan-bajo-resguardo_8652_14551.html , accessed , 22 August 2012
http://www2.la-razon.com/version.php?ArticleId=897&EditionId=59 , accessed , 22 August 2012
http://www.minculturas.gob.bo/index.php?option=com_content&view=article&id=1681:san-andres-de-machaca-templo-patrimonial-sera-refaccionado-con-apoyo-del-ministerio-de-culturas-&catid=71:prensa&Itemid=458 , accessed , 22 August 2012
Bolivia , en Tourism is , Blog
it , actually depict , Santa Rita
painting , was , catalogued
painting , was catalogued as , Santa Rita de Viterbo
painting , was , catalogued as Santa Rita de Viterbo by researchers from Universidad Mayor de San Andrés in 1974
Universidad Mayor de San Andrés , is in , 1974
painting , was , catalogued as Santa Rita de Viterbo by researchers from Universidad Mayor de San Andrés
painting , was catalogued by , researchers from Universidad Mayor de San Andrés in 1974
painting , was catalogued by , researchers from Universidad Mayor San Andrés in 1974
painting , was catalogued by , researchers from Universidad Mayor de San Andrés
1974 , in Andrés is , La Paz
painting , was catalogued by , researchers
painting , was , catalogued as Santa Rita de Viterbo by researchers from Universidad Mayor San Andrés in 1974
it , depict , Santa Rita
painting , was catalogued by , researchers from Universidad Mayor San Andrés
painting , was , catalogued as Santa Rita de Viterbo by researchers
painting , was , catalogued as Santa Rita de Viterbo by researchers from Universidad Mayor San Andrés
