US federal agents , Researching , global traffic in objects
federal agents , arrested , Roxanna Brown
she , deliver , lecture
federal agents , arrested Roxanna Brown On , 9 May 2008
agents , arrested Roxanna Brown in , follow-up action
federal agents , arrested Roxanna Brown in , follow-up action
federal agents , arrested Roxanna Brown in , action to January raids
agents , arrested Roxanna Brown in , action
she , supplied Jonathan Markell with , electronic copies of her signature
she , had helped , Felch 2008c
she , had previously helped , investigation
she , supplied Jonathan Markell with , copies
she , was , alleged
she , had previously helped , Felch 2008c
she , supplied Jonathan Markell with , electronic copies
she , had helped , investigation
his , appraisals , Felch 2008d
she , supplied Jonathan Markell with , copies of her signature
she , supplied , Jonathan Markell
she , was , now alleged
She , had met Markells during , 1990s
She , studying at , UCLA
She , also visited , Olson 's warehouse
She , had met , Markells
She , studying for , PhD
She , had met Markells during , late 1990s
Olson , has , warehouse
She , visited , Olson 's warehouse
she , was , charged
Markell , use , her signature
she , allowing , Markell
she , was , After her arrest charged with wire fraud
she , was charged with , wire fraud
she , was charged After , her arrest
she , died of , ulcer
she , died of , perforated ulcer
she , died of , perforated gastric ulcer
she , died of , gastric ulcer
Brown , of , death
Brown , 's death is , Felch 2009
her son , was awarded , $ 880,000
wire fraud charge , was , dropped
investigation , was , ongoing
investigation , was , still ongoing
US Attorney 's Office , is in , Los Angeles
US Attorney , has , Office in Los Angeles
Bennett surprise museum raid , Voice of , San Diego
http://www.voiceofsandiego.org/arts/article_ad5d14de-ab42-11e0-9096-001cc4c03286.html , accessed , 19 July 2012
Felch , surrounds , Los Angeles Times
Felch , surrounds , smuggler
Felch , surrounds , alleged smuggler
http://articles.latimes.com/2008/jan/31/local/me-olson31 , accessed , 19 July 2012
Felch , turns , tipster
Felch , turns , Los Angles Times
Felch , career , Her
Felch , turns , 12 September
http://www.latimes.com/news/local/la-me-roxanna12-2008sep12,0,5477398.story , accessed , 19 July 2012
http://www.latimes.com/news/local/la-me-roxanna13-2008sep13,0,6263832.story , accessed , 19 July 2012
http://articles.latimes.com/2009/jul/08/local/me-roxanna8 , accessed , 19 July 2012
Felch , goes , Boehm
Felch , goes , national
Felch , probe of , stolen art
Felch , goes , Jason
http://articles.latimes.com/2008/jan/29/local/me-museum29 , accessed , 19 July 2012
Wald , is blamed for , damage to artifacts '
Wald , is blamed for , damage
Wald , is , blamed
Wyatt , focuses on , New York Times
Wyatt , focuses on , antiquities dealer
Wyatt , focuses on , 31 January
http://www.nytimes.com/2008/01/31/arts/31museum.html?pagewanted=print , accessed , 19 July 2012
wider focus , is in , inquiry
http://www.nytimes.com/2008/01/30/us/30museum.html , accessed , 19 July 2012
USA , Search , warrant affidavit
USA , Search , United States v
18 January , District of , California
USA , Search , United States
USA , Search , warrant affidavit
18 January , District of , California
USA , Search , United States
United States , v , Los Angeles County Museum of Art
United States , v , Los Angeles County Museum
Ban Chiang , is , badly looted site
Ban Chiang , is archaeological site in , north-east Thailand
Ban Chiang , is , archaeological site
Ban Chiang , is badly looted site in , north-east Thailand
Ban Chiang , is looted site in , north-east Thailand
Ban Chiang , is , looted archaeological site
Ban Chiang , is , looted site
Ban Chiang , is , badly archaeological site
Ban Chiang , is , badly looted archaeological site
looted archaeological site , is in , north-east Thailand
Ban Chiang , is , site
Ban Chiang , is badly site in , north-east Thailand
Ban Chiang , is site in , north-east Thailand
Ban Chiang , is , badly site
Chiang , is , archaeological
Chiang , is , looted
Ban Chiang , is badly looted archaeological site in , north-east Thailand
Ban Chiang , is looted archaeological site in , north-east Thailand
Ban Chiang , is badly archaeological site in , north-east Thailand
