2008 , In Researching is , US army helicopter pilot pled
Johnson , pleaded In , July 2008
Johnson , pleaded , guilty
ICE , returned On , 3 December
ICE , returned , 79 artifacts
ICE , returned from , Ma'adi to Egypt
ICE , returned from , Ma'adi
US arrests army pilot , dealing ' , Egyptian antiquities
US arrests army pilot , dealing ' , stolen antiquities
US arrests army pilot , dealing ' , stolen Egyptian antiquities
US arrests army pilot , dealing ' , antiquities
ICE , returns to , Egypt ' press release
Egypt , to , press release
Mainz , am , Rhein
