several stelae , were looted in , 1970s
large trenches , had , At time of my first visit had dug
large trenches , had , had dug into Structures
large trenches , had , had dug
large trenches , had , At time had dug into Structures
trenches , had , At time of my first visit to site had dug
trenches , had , At time had dug
trenches , had , At time of my visit to site had dug
looters , were active in , site
we , planned , stay
we , planned , extended stay
looters , were , active
it , became , apparent
many weeks , is in , removal of many tons of stone
Stela , was , looted
Stela 3 , was , looted
looted , is , unknown
Its half , standing in front of , building
Its front half , standing in front of , building
carved front , had , had looted
front , had , had looted
location , is , unknown
current location , is , unknown
Carnegie Institute team , is in , 1920
Sylvanus Morely , name , site
Sylvanus Morely , was , inspired
It , was seen , lying in 1974
It , lying in , 1974
it , had , had looted
It , was seen , lying
It , was , seen
location , is , unknown
current location , is , unknown
it , had , By 1974 had stolen
it , had , had stolen
location , is , unknown
current location , is , unknown
removal , coupled with , lack of archaeological work at site
wholesale removal , coupled with , lack of archaeological work at site
removal , coupled with , relative lack
removal , coupled with , relative lack of archaeological work at site
Xultun , from , caches
wholesale removal , coupled with , lack of archaeological work
removal , coupled with , relative lack of archaeological work
wholesale removal , coupled with , relative lack of archaeological work at site
wholesale removal , coupled with , lack of work at site
removal , coupled with , relative lack of work at site
removal , coupled with , lack of work
wholesale removal , coupled with , relative lack of work at site
removal , coupled with , lack of work at site
wholesale removal , coupled with , relative lack of work
removal , coupled with , relative lack of work
removal , coupled with , lack of archaeological work
wholesale removal , coupled with , lack of work
wholesale removal , coupled with , relative lack
wholesale removal , coupled with , lack
removal , coupled with , lack
wholesale removal , coupled with , relative lack of archaeological work
3 flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum
flat dish , be from , Xultun in November Collection of pottery in possession of Museum
3 flat dish , thought , Xultun in November Collection of pottery
3 flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection of pottery in possession of Museum
flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum
3 flat dish , be from , Xultun in November Collection in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection in possession of Museum
flat dish , thought , Xultun in November Collection
3 flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of pottery now in possession
flat dish , be from , Xultun in November Collection now in possession of Museum of Arts
flat dish , thought , Xultun in November Collection of pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of pottery in possession
flat dish , thought , Xultun in November Collection of pottery now in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection in possession
flat dish , thought , Xultun in November Collection now in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection in possession of Museum
3 flat dish , thought , Xultun in November Collection in possession
3 flat dish , be from , Xultun in November Collection now in possession
flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum of Arts
3 flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of pottery
3 flat dish , be from , Xultun in November Collection of Maya pottery in possession
flat dish , be from , Xultun in November Collection in possession
3 flat dish , thought , Xultun in November Collection of pottery now in possession
3 flat dish , be from , Xultun in November Collection now in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection of Maya pottery now in possession
3 flat dish , thought , Xultun in November Collection of pottery in possession of Museum of Arts
3 flat dish , be from , Xultun in November Collection of pottery
flat dish , be from , Xultun in November Collection of pottery now in possession
3 flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum of Arts
3 flat dish , be from , Xultun in November Collection of pottery in possession
flat dish , be from , Xultun in November Collection in possession of Museum of Arts
flat dish , thought , Xultun in November Collection now in possession
flat dish , be from , Xultun in November Collection now in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of pottery now in possession
flat dish , be from , Xultun in November Collection of pottery now in possession of Museum
flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection now in possession of Museum
flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of pottery now in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection of pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of pottery
flat dish , thought , Xultun in November Collection of Maya pottery now in possession
flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of pottery in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection of pottery now in possession of Museum of Fine Arts
flat dish , be from , Xultun in November Collection now in possession
flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection of pottery in possession
3 flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum
flat dish , thought , Xultun in November Collection now in possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of Maya pottery
flat dish , thought , Xultun in November Collection of pottery in possession of Museum
3 flat dish , be from , Xultun in November Collection
3 flat dish , be from , Xultun in November Collection of pottery now in possession of Museum of Fine Arts
November Collection , is in , now possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of pottery in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of Maya pottery in possession of Museum
flat dish , thought , Xultun in November Collection of pottery now in possession of Museum
3 flat dish , be from , Xultun in November Collection in possession
3 flat dish , be from , Xultun in November Collection of pottery in possession of Museum
flat dish , be from , Xultun in November Collection in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of Maya pottery in possession
flat dish , thought , Xultun in November Collection in possession of Museum of Fine Arts
3 flat dish , be from , Xultun in November Collection of pottery in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection
3 flat dish , thought , Xultun in November Collection of pottery now in possession of Museum
3 flat dish , be from , Xultun in November Collection now in possession of Museum of Arts
3 flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum
3 flat dish , thought , Xultun in November Collection now in possession
3 flat dish , be from , Xultun in November Collection of pottery now in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection of Maya pottery in possession
flat dish , be from , Xultun in November Collection in possession of Museum
3 flat dish , be from , Xultun in November Collection in possession of Museum
3 flat dish , be from , Xultun in November Collection in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection of pottery in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of Maya pottery
flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum
3 flat dish , thought , Xultun in November Collection now in possession of Museum
3 flat dish , be from , Xultun in November Collection of pottery now in possession of Museum
flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum
3 flat dish , be from , Xultun in November Collection now in possession of Museum
3 flat dish , thought , Xultun in November Collection of Maya pottery
flat dish , be from , Xultun in November Collection of pottery now in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of pottery in possession of Museum of Fine Arts
flat dish , thought , Xultun in November Collection of Maya pottery in possession
flat dish , be from , Xultun in November Collection of Maya pottery now in possession
3 flat dish , be from , Xultun in November Collection of Maya pottery now in possession
3 flat dish , be from , Xultun in November Collection of Maya pottery now in possession of Museum
flat dish , be from , Xultun in November Collection of Maya pottery
flat dish , be from , Xultun in November Collection of Maya pottery in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection of Maya pottery now in possession of Museum of Arts
flat dish , be from , Xultun in November Collection
flat dish , thought , Xultun in November Collection of pottery in possession
flat dish , thought , Xultun in November Collection of pottery in possession of Museum of Arts
flat dish , be from , Xultun in November Collection of pottery in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection now in possession of Museum of Arts
3 flat dish , thought , Xultun in November Collection now in possession of Museum of Fine Arts
3 flat dish , thought , Xultun in November Collection in possession of Museum of Arts
flat dish , be from , Xultun in November Collection now in possession of Museum
listed , is , recorded as
piece , been , ollected
listed , is , recorded
Justin Kerr , in , Maya Vase Database
K8007 , is in , Justin Kerr 's Maya Vase Database
Justin Kerr , 's Database is , Kerr 2000
cylindrical vessel , is decorated with , anthropomorphic fireflies
vessel , is , decorated
vessel , is decorated with , fireflies
vessel , is decorated with , anthropomorphic fireflies
cylindrical vessel , is , decorated
cylindrical vessel , is decorated with , fireflies
cylindrical vessel , bears , emblem glyph of Xultun
vessel , bears , emblem glyph
vessel , bears , emblem glyph of Xultun
cylindrical vessel , bears , emblem glyph
It , was confiscated from , looter
It , is in , Morley Museum at Tikal
It , was confiscated from , local looter
It , is in , now Morley Museum
It , is in , Morley Museum
It , was , confiscated
It , is in , now Morley Museum at Tikal
eroded mural painting , was , In 2010 discovered on west wall
eroded mural painting , was , discovered
Structure 10K-2 , of wall is , Saturno 2012
mural painting , was discovered on , west wall of Structure 10K-2
eroded mural painting , was discovered on , Saturno 2012
mural painting , was , In 2010 discovered on west wall of Structure 10K-2
mural painting , was discovered on , west wall
eroded mural painting , was discovered on , west wall of Structure 10K-2
eroded mural painting , was , In 2010 discovered on west wall of Structure 10K-2
eroded mural painting , was discovered on , west wall
mural painting , was discovered on , Saturno 2012
mural painting , was discovered In , 2010
mural painting , was , In 2010 discovered on west wall
eroded mural painting , was discovered In , 2010
mural painting , was , discovered
looting , had exposed murals to , rain
looting , had exposed , murals
numerous inscriptions , have , have preserved
numerous inscriptions , have , However have preserved
inscriptions , have , have preserved
inscriptions , have , However have preserved
Maya Vase Database , accessed , 15 October 2012
Eastern Petén-style dish , Website of , Museum
Realities , is in , Rural Villages of El Petén accessed 15 October 2012
B'aax , of Lord is , Stone Hill ''' Mexicon 32 4
Saturno , Tables from , Xultun
Von Euw , Corpus of , Maya Hieroglyphic Inscriptions Vol 5.1
Xultun , at Murals is , Mesoweb Reports
Xultun , at Murals is , http://www.mesoweb.com/reports/Xultun.pdf
chicleros , are credited Because of , their tendency
chicleros , finding , many major Maya sites
chicleros , are , usually credited
chicleros , are usually credited Because of , their tendency
chicleros , are , credited
chicleros , finding , major Maya sites
they , are , credited
they , are credited At , times
Justin Kerr , from , Maya Vase database
