Sucia , is , archaeological
later phase , is strongly associated with , Cotzumalhuapa Culture
later phase , is associated with , Cotzumalhuapa Culture of Pacific Coast of Guatemala
phase , is strongly associated with , Cotzumalhuapa Culture
later phase , is associated with , Cotzumalhuapa Culture of Pacific Coast
phase , is associated with , Cotzumalhuapa Culture of Pacific Coast of Guatemala
phase , is strongly associated with , Cotzumalhuapa Culture of Pacific Coast
later phase , is strongly associated with , Cotzumalhuapa Culture of Pacific Coast
phase , is , associated
later phase , is associated with , Cotzumalhuapa Culture
phase , is associated with , Cotzumalhuapa Culture of Pacific Coast
phase , is strongly associated with , Cotzumalhuapa Culture of Pacific Coast of Guatemala
phase , is , strongly associated
later phase , is , strongly associated
later phase , is strongly associated with , Cotzumalhuapa Culture of Pacific Coast of Guatemala
later phase , is , associated
site , was first recorded in , century
site , was , first recorded
site , was , recorded
site , was recorded in , 19th century
site , was recorded in , century
site , was first recorded in , 19th century
Early interest , resulted in , looting
interest , resulted in , looting
Early interest , is in , objects from Cara Sucia
Early interest , resulted in , small-scale looting
interest , resulted in , small-scale looting
accredited , to , Cara Sucia
Herbert J. Spinden , notes , presence of figurine
accredited , to , Cara Sucia in collection of Dr. Alberto Luna of Mexico
accredited , to , Cara Sucia in collection
Cara Sucia , is in , collection of Dr. Alberto Luna of Mexico
accredited , to , Cara Sucia in collection of Dr. Alberto Luna
Herbert J. Spinden , notes , presence
country , by , 1973 penal code
El Salvador , has prohibited , export of objects
El Salvador , has prohibited , export of archaeological objects
El Salvador , has prohibited , export
El Salvador , has prohibited export Since , 1903
1500 sites , is in , country
Looting , is in , 1982
effort , develop , rural class
effort , develop , rural middle class
FUNDAR , via Photo is , El Salvador
Photo embarked , was transferred to , landless agricultural workers
Photo embarked , was transferred to , workers
Photo , is In , 1980
effort , develop , middle class
Photo embarked , was transferred to , landless workers
Photo embarked , was transferred to , agricultural workers
effort , develop , class
Photo , embarked on , land reform programme
Photo embarked , was , transferred
Photo , embarked in , effort
positive aspects , have , have hotly debated
shift , is in , demographics who had
positive aspects , have , have debated
aspects , have , have hotly debated
aspects , have , have debated
positive aspects , have , have hotly debated within El Salvador
aspects , have , have hotly debated within El Salvador
aspects , have , have debated within El Salvador
positive aspects , have , have debated within El Salvador
site , was , severely looted
site , was , looted
looting , dates to , around 1980/1981
fenced , hired , guards
fenced , were , hired
damage , had , had done
damage , had , had already done
damage , had , then had done
site , was , fenced
damage , had , then had already done
fenced , were hired in , 1982
Paul Amaroli , embarked on , project
Paul Amaroli , document , looting of Cara Sucia region
Paul Amaroli , document , looting
Paul Amaroli , embarked In , 1986
2012 interview , is with , newspaper El Mundo
Amaroli , discussed , several
Amaroli , discussed , several of his conclusions about looting
Amaroli , discussed , several of his conclusions about looting in Cara Sucia
looting , is in , Cara Sucia
Amaroli , discussed , several of his conclusions
up four years , is in , prison
Those other countries , is with , Maya sites
trafficking , is in , drugs
trafficking , is in , antiquities
risks , is with , trafficking in antiquities
Investigations , conducted by , Government
majority , was in , United States
Investigations , conducted by , Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303
USA , imposed , emergency import restrictions on Cultural Property originating from region following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region following request
USA , imposed , emergency import restrictions
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from region following request
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Property originating following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Cultural Property originating following request by Government
USA , imposed , emergency import restrictions on Property originating following request
USA , imposed , emergency import restrictions on Property originating under section 303
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303
USA , imposed , emergency import restrictions on Property originating following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region following request by Government
USA , imposed , emergency import restrictions on Property originating
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 following request by Government
USA , imposed , emergency import restrictions on Property originating from region
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property
USA , imposed , emergency import restrictions on Property originating from region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia following request
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Property originating from archaeological region following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia following request by Government
Cultural Property Implementation Act , of section is , a
USA , imposed , emergency import restrictions on Property originating under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating under section 303
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Property
USA , imposed , emergency import restrictions on Salvadoran Property originating from region
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia following request
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region
USA , imposed , emergency import restrictions on Property originating from region under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property
USA , imposed , emergency import restrictions on Salvadoran Property originating following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property
USA , imposed , emergency import restrictions on Property originating from region following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Property originating following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region of Cara Sucia
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Property originating from region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 following request by Government
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia following request
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating under section 303 of Cultural Property Implementation Act
USA , imposed , emergency import restrictions on Property originating from region under section 303
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303 following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303
USA , imposed , emergency import restrictions on Property originating from region following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Property originating from region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from archaeological region under section 303 following request by Government
USA , imposed , emergency import restrictions on Property originating from archaeological region
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region following request
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Property originating from region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Cultural Property originating following request
USA , imposed , emergency import restrictions on Property originating from archaeological region of Cara Sucia following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Property originating from region under section 303 of Cultural Property Implementation Act following request by Government
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from region under section 303 following request by Government
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating from region of Cara Sucia under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Cultural Property originating under section 303 following request by Government of El Salvador
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Property originating from region of Cara Sucia under section 303
USA , imposed , emergency import restrictions on Cultural Property originating from archaeological region following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from region of Cara Sucia under section 303
USA , imposed emergency import restrictions In , 1987
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating from archaeological region under section 303 of Cultural Property Implementation Act following request by Government of El Salvador
USA , imposed , emergency import restrictions on Property originating from region under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Salvadoran Cultural Property originating under section 303 of Cultural Property Implementation Act following request
USA , imposed , emergency import restrictions on Property originating from region following request by Government of El Salvador
