global traffic , is in , looted objects One of few places
signs , were , In May 2007 reported to Historic Scotland by concerned member
signs , were , In May 2007 reported by member of public
Antonine Wall , runs through , park
informant , provided Scotland with , photographs of number of small holes
informant , provided Scotland with , turf replaced
informant , provided , Historic Scotland
informant , provided Scotland with , turf subsequently replaced
informant , provided , Scotland
these , were , squares
informant , provided Scotland with , turf
informant , provided Scotland with , photographs of number
these , were , spade-size squares
informant , provided Scotland with , photographs
informant , provided Scotland with , photographs of number of holes
it , was , protected
person , is in , Peel Park
area , is protected under , Ancient Monuments
Historic Scotland , attended , meeting
twelve signs , advising , public
year , is in , November
area , is , protected
area , is protected under , Monuments
Historic Scotland , provided , twelve small signs
twelve small signs , advising , public
area , is protected under , Owen 2012
Historic Scotland , subsequently provided , twelve signs
agreed locations , is in , Peel Park
Historic Scotland , subsequently provided , twelve small signs
meeting , is with , Strathclyde Police
Historic Scotland , provided , twelve signs
different crimes , affecting , enjoyment
crimes , affecting , enjoyment of environment
crimes , affecting , enjoyment
different crimes , affecting , enjoyment of environment
affecting , enjoyment of , environment
areas , is in , Cumbernauld area
areas , is in , vicinity of Antonine Wall
Mullen , Calls for , crackdown on metal thieves '
Owen , email to , S. Thomas
Archaeological Sites , is in , UK
http://www.helm.org.uk/upload/pdf/NIGHTHAWKS2.pdf?1343056969 , accessed , 12 July 2012
Thomas , Searching for , answers
term , is generally used , refer
term , is , used
term , is , generally used
term , is used , refer
