Aidonia Treasure , is , collection
material , was , property of Greece
attorneys , acting on behalf of , Greece
material , asked for , Elia 1991
material , asked for , its return
they , sued for , its return
they , obtained injunction On , 25 May
US District Court , District of , New York
they , obtained , injunction
they , obtained , injunction from US District Court
Ward , donate material for , Preservation
Ward , donate , material
Ward , donate material for , Preservation of Greek Heritage
Ward , donate material to , US-based Society
Ward , donate material to , Society
out-of-court settlement , was announced On , 30 December 1993
settlement , was announced On , 30 December 1993
out-of-court settlement , was , announced
settlement , was , announced
Ward , donate material for , Preservation of Heritage
he , claiming , cost
Ward , was , dealer
he , was , limited
he , claiming , cost to himself
he , thought by , Ward
he , claim , its fair market value
he , had , had collector
he , claim , its market value
he , would , would have able
he , thought , $ 1.5 million
SPGH , returned , material
SPGH , returned in , Howland 1996
SPGH , returned to , Greece
SPGH , returned material to , Greece
SPGH , returned material in , Howland 1996
settlement , been expressions of , regret
settlement , been , also expressions
settlement , also been expressions of , regret
settlement , was welcomed by , commentators
settlement , been , expressions
settlement , was , welcomed
settlement , secured , return
settlement , secured return On , positive side
settlement , secured return On , side
Ward , avoided , large financial loss
court , had decided against , his ownership
Ward , avoided , financial loss
Ward , avoided , loss
Ward , avoided , large loss
sides , minimized , their fees
sides , minimized , their legal fees
material , represents , totality of material
material , represents , totality
It , is thought , unlikely
material , totality , recovered by Greece
material , totality , recovered
material , represents , recovered by Greece
material , represents , totality of material looted from Aidonia
material , totality of , material looted
material , totality of , material looted from Aidonia
material , totality of , material
material , represents , totality of material looted
It , is , thought
material , represents , recovered
it , has , In absence has argued
source , is far from , definite
it , has , In absence has also argued
it , has , has also argued
it , has , In absence of reliable provenance has also argued
it , has , In absence of reliable provenance has argued
it , has , has argued
it , has , In absence of provenance has also argued
it , has , In absence of provenance has argued
they , place of , joint deposition
objects , might , might possibly have found
objects , acquired by , Ward
objects , might , might have found
objects , might , might have found elsewhere
objects , might , might possibly have found elsewhere
they , fatally undermined , Fitzpatrick 1996
Greece , has , case
uncertainties , surrounding , method used
it , is , possible
they , undermined , Greece 's case
case , had gone to , court
uncertainties , would , would have exploited
they , fatally undermined , Greece 's case
uncertainties , surrounding , method
Greece , 's case is , Fitzpatrick 1996
they , undermined , Fitzpatrick 1996
uncertainties , would , would probably have exploited
it , lump together , material
it , lump together , material obtained through legitimate excavation
that , recovered as , Cherry 1999
it , lump , material obtained through excavation
it , lump together , material obtained through excavation
it , lump , material obtained
that , recovered from , Ward
it , lump , material
it , lump , material obtained through legitimate excavation
it , lump together , material obtained
that , recovered as , singular treasure
that , recovered as , treasure
provenance , had , had resolved
provenance , had , had resolved in court
provenance , had , had resolved in court of law
village , was , abandoned
residents , feuding amongst , themselves
village , was , largely abandoned
residents , fell , feuding
residents , fell , feuding amongst themselves
New tombs , are believed , have robbed there
New tombs , are believed , have robbed
New tombs , are , believed
New tombs , been , robbed there
New tombs , been robbed in , Brodie
New tombs , been robbed there in , Brodie
New tombs , been , robbed
Aidonia , are , unfavourably curated
Aidonia , unfavourably are curated for , benefit of public
Aidonia , are curated for , benefit of public
Aidonia , are curated for , benefit of general public
Aidonia , are curated for , benefit
Aidonia , are curated in , museum
Aidonia , unfavourably are curated in , purpose-built museum
Aidonia , unfavourably are curated for , benefit of general public
Aidonia , unfavourably are curated for , benefit
Aidonia , are , curated
Aidonia , unfavourably are curated in , museum
Aidonia , are curated in , purpose-built museum
Brodie , Lost , Apostolidis History
Brodie , Lost , Neil
Cherry , is in , P.P. Betancourt
Cherry , reflections in , Aegean bronze age
Cherry , reflections on , attribution
P.P. Betancourt , in Cherry is , John F.
Further reflections , is in , Aegean bronze age
Cherry , reflections After , Aidonia
P.P. Betancourt , in Cherry is , After Aidonia Further reflections on attribution
his , Year , Aegaeum 20
Studies , is in , Aegean Archaeology Presented to Malcolm H. Wiener
Ehl , settlement of , Greece
return , Journal of , Cultural Property
of Mycenaean artifacts , ' return is , International Journal of Cultural Property
Fitzpatrick , is in , Howland
Introduction , is in , Howland
Krystalli-Votsi , excavation of , Mycenaean cemetery
http://www.nytimes.com/1993/04/04/arts/arts-artifacts-rare-gold-baubles-small-ancient-and-radiant.html , accessed , 23 August 2012
http://articles.latimes.com/1996-08-12/news/mn-33617_1_aidonia-treasure , accessed , 23 August 2012
