,Type,Entity 1,Relationship,Type.1,Entity2
153,ORG,Uigwe, is in ,GPE, France
154,ORG,Uigwe, include ,O, details of various activities including construction techniques
155,ORG,Uigwe, were brought to ,ORG, Bibliothèque nationale de France
156,ORG,Uigwe, Furthermore include ,O, details including construction techniques
157,ORG,Uigwe, returned by ,GPE, Japan
158,ORG,Uigwe, Furthermore include ,O, details of various other activities including construction techniques
159,ORG,Uigwe, include ,O, details of various activities
160,ORG,Uigwe, Furthermore include ,O, details of other cultural activities including construction techniques for buildings
161,ORG,Uigwe, Furthermore include ,O, details of cultural activities
162,ORG,Uigwe, Furthermore include ,O, details of activities including construction techniques for royal buildings
163,ORG,Uigwe, include ,O, details including construction techniques for royal buildings
164,GPE,South Korea, request ,O, return of property
165,ORG,Uigwe, include ,O, details of activities including construction techniques
166,ORG,Uigwe, were ,ORG, then brought to Bibliothèque nationale de France
167,GPE,Japan, return ,ORG, Uigwe
168,GPE,South Korea, request ,O, return of additional cultural property held
169,ORG,Uigwe, include ,O, details including construction techniques
170,GPE,Japan, to palace is ,DATE, Lee 2011b
171,GPE,Japan, to palace is ,PERSON, Lee 2011b
172,ORG,Uigwe, include ,O, details of various activities including construction techniques for buildings
173,ORG,Uigwe, Furthermore include ,O, details of other cultural activities including construction techniques for royal buildings
174,ORG,Uigwe, can ,O, can translated in number
175,ORG,Uigwe, include ,O, details of activities including construction techniques for royal buildings
176,ORG,Uigwe, include ,O, details of cultural activities
177,GPE,South Korea, request ,O, return
178,GPE,South Korea, request ,O, return of additional property held
179,GPE,South Korea, formally request ,O, return
180,ORG,Uigwe, Furthermore include ,O, details of various other activities including construction techniques for buildings
181,ORG,Uigwe, include ,O, details of activities including construction techniques for buildings
182,NORP,Becchina, used ,O, false provenance for other artefacts
183,NORP,Becchina, similar false provenance for ,GPE, USA 2012
184,NORP,Becchina, of ,O, gallery located in Basel
185,NORP,Becchina, is ,NORP, Italian
186,NORP,Becchina, used ,O, similar false provenance
187,NORP,Becchina, used ,O, similar false provenance for artefacts
188,NORP,Becchina, similar false provenance for ,O, artefacts
189,ORG,Medici, is ,NORP, Italian
190,DATE,8 January, way for ,O, looted vessel
191,NORP,Becchina, had devised ,O, false provenance
192,NORP,Becchina, used ,O, similar false provenance for other artefacts
193,NORP,Becchina, false provenance for ,GPE, USA 2012
194,DATE,8 January, way for ,O, vessel
195,NORP,Becchina, false provenance for ,O, artefacts
196,NORP,Becchina, similar false provenance for ,DATE, USA 2012
197,NORP,Becchina, used ,O, false provenance for artefacts
198,PERSON,Giacomo Medici, illegal export of ,O, goods
199,PERSON,Giacomo Medici, conspiracy to ,O, traffic
200,NORP,Becchina, false provenance for ,O, other artefacts
201,NORP,Becchina, 's gallery is ,O, Antike Kunst Palladion
202,PERSON,Haug, inherited ,O, piece
203,DATE,8 January, way for ,O, looted ancient vessel
204,DATE,20 June, District of ,GPE, Ohio
205,NORP,Becchina, similar false provenance for ,O, other artefacts
206,NORP,Becchina, false provenance for ,DATE, USA 2012
207,DATE,8 January, way for ,O, ancient vessel
208,NORP,Becchina, used ,O, false provenance
209,PERSON,Giacomo Medici, export of ,O, goods
210,ORG,Medici, had taken ,O, piece
211,PERSON,Perches, was charged with ,O, theft
212,PERSON,Perches, stated According to ,DATE, Miller 1989
213,PERSON,Perches, was charged with ,O, theft of national treasure
214,PERSON,Perches, stated According to ,O, Attorney General Enrique Alvarez del Castillo
215,PERSON,Pakal, in ,O, intact tomb
216,PERSON,Marjorie, Artifacts 's ,O, Museum
217,PERSON,Perches, was ,O, charged
218,PERSON,Perches, stated According to ,PERSON, Miller 1989
219,PERSON,Pakal, Besides ,O, funerary mask
220,NORP,Palenque, within ,O, Temple of Inscriptions
221,PERSON,Perches, was charged with ,O, theft of treasure
222,PERSON,Pakal, has ,O, funerary objects
223,PERSON,Savoca, be implicated in ,O, theft
224,ORG,Operation Geryon, was ,O, in objects name given to investigation into armed theft from castle
225,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Carabinieri to investigation into theft of eight antiquities
226,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
227,ORG,Operation Geryon, was ,O, in objects name given
228,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft
229,ORG,Operation Geryon, was ,CARDINAL, in objects name given by Italian Carabinieri to investigation into theft of eight antiquities
230,PERSON,Camera, was ,O, In August 1995 killed in car crash
231,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft from castle of Melfi
232,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
233,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation from castle of Melfi
234,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into armed theft from castle of Melfi
235,PERSON,Camera, has ,GPE, Rome apartment
236,ORG,Operation Geryon, was ,O, in objects name given to investigation into theft from castle
237,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
238,ORG,Operation Geryon, was ,CARDINAL, name given to investigation into theft of eight antiquities from castle
239,ORG,Operation Geryon, was ,CARDINAL, in objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
240,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
241,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri
242,ORG,Operation Geryon, was ,ORG, in looted objects name given to investigation into theft of eight antiquities from castle of Melfi
243,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle
244,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given to investigation into armed theft of eight antiquities from castle of Melfi
245,ORG,Operation Geryon, was ,ORG, in objects name given to investigation into armed theft of eight antiquities from castle of Melfi
246,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into armed theft from castle
247,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
248,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into theft from castle
249,ORG,Operation Geryon, was ,O, in looted objects name given to investigation from castle
250,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into theft
251,ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into theft of eight antiquities
252,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle
253,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into armed theft from castle of Melfi
254,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft from castle
255,PERSON,Savoca, was ,O, citizen
256,ORG,Operation Geryon, was ,O, closed
257,PERSON,Camera, was killed while in ,O, car crash
258,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation from castle of Melfi
259,ORG,Operation Geryon, given by ,NORP, Italian Carabinieri
260,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation
261,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri
262,ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
263,ORG,Operation Geryon, given to ,O, investigation into theft
264,ORG,Operation Geryon, was ,CARDINAL, in objects name given to investigation into armed theft of eight antiquities from castle
265,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into armed theft
266,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft from castle
267,PERSON,Zicchi, to ,O, apartment
268,ORG,Operation Geryon, given to ,ORG, investigation into armed theft of eight antiquities from castle of Melfi
269,ORG,Carabinieri, participate in ,O, raid
270,ORG,Operation Geryon, given to ,CARDINAL, investigation into armed theft of eight antiquities from castle
271,ORG,Operation Geryon, was ,O, in objects name given to investigation into theft
272,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation
273,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri to investigation from castle of Melfi
274,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation
275,ORG,Operation Geryon, was ,O, name given to investigation into armed theft
276,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle
277,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
278,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri to investigation into theft from castle
279,ORG,Operation Geryon, was ,ORG, name given to investigation into theft from castle of Melfi
280,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into theft of eight antiquities from castle of Melfi
281,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given to investigation into theft of eight antiquities from castle of Melfi
282,ORG,Operation Geryon, was ,O, name given to investigation into theft
283,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri to investigation
284,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri to investigation into theft of eight antiquities
285,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
286,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into armed theft
287,PERSON,Camera, of ,O, dealings
288,PERSON,Camera, was ,O, In August 1995 killed while on his way
289,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri
290,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
291,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Carabinieri to investigation into theft of eight antiquities from castle of Melfi
292,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given to investigation into armed theft of eight antiquities
293,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into theft from castle of Melfi
294,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle
295,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into theft of eight antiquities
296,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into theft of eight antiquities
297,ORG,Operation Geryon, was ,O, in looted objects name given to investigation into theft from castle
298,ORG,Operation Geryon, was ,O, name
299,ORG,Operation Geryon, was ,O, name given
300,ORG,Operation Geryon, was ,CARDINAL, name given to investigation into theft of eight antiquities from castle of Melfi
301,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation from castle
302,ORG,Operation Geryon, was name in ,O, looted objects
303,ORG,Operation Geryon, was ,ORG, in looted objects name given to investigation from castle of Melfi
304,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into armed theft of eight antiquities
305,ORG,Operation Geryon, was ,CARDINAL, name given by Italian Carabinieri to investigation into armed theft of eight antiquities
306,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into theft
307,ORG,Operation Geryon, was ,CARDINAL, in objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities
308,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle
309,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft
310,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
311,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
312,ORG,Operation Geryon, was ,O, in looted objects name given to investigation into theft
313,PERSON,Camera, was ,O, killed while on his way
314,ORG,Operation Geryon, was ,CARDINAL, in objects name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
315,ORG,Operation Geryon, was ,CARDINAL, in objects name given by Carabinieri to investigation into theft of eight antiquities
316,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft
317,ORG,Operation Geryon, was ,ORG, in objects name given to investigation into armed theft from castle of Melfi
318,ORG,Operation Geryon, was ,CARDINAL, in objects name given to investigation into theft of eight antiquities
319,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into theft of eight antiquities
320,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft of eight antiquities
321,ORG,Operation Geryon, was ,ORG, name given to investigation into armed theft from castle of Melfi
322,PERSON,Camera, was killed in ,O, car crash
323,ORG,Operation Geryon, was ,CARDINAL, name given to investigation into theft of eight antiquities
324,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft of eight antiquities from castle of Melfi
325,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation into theft from castle of Melfi
326,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation from castle of Melfi
327,PERSON,Camera, was killed In ,O, August 1995
328,ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into theft of eight antiquities from castle of Melfi
329,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into theft from castle
330,ORG,Operation Geryon, was ,ORG, in looted objects name given to investigation into theft from castle of Melfi
331,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation
332,ORG,Operation Geryon, was ,O, in looted objects name given to investigation
333,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given to investigation into armed theft of eight antiquities from castle
334,ORG,Operation Geryon, given to ,O, investigation from castle
335,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
336,ORG,Operation Geryon, was ,NORP, in looted objects name given by Italian Carabinieri to investigation into armed theft
337,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation into armed theft from castle
338,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation from castle
339,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle
340,ORG,Operation Geryon, was ,CARDINAL, name given by Carabinieri to investigation into armed theft of eight antiquities from castle
341,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation into armed theft
342,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Carabinieri to investigation into theft of eight antiquities from castle
343,ORG,Operation Geryon, was ,NORP, in objects name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
344,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into theft of eight antiquities from castle of Melfi
345,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation from castle
346,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into theft of eight antiquities from castle
347,PERSON,Camera, was ,O, killed while
348,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
349,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given to investigation into theft of eight antiquities from castle
350,ORG,Operation Geryon, given to ,CARDINAL, investigation into theft of eight antiquities from castle of Melfi
351,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into theft of eight antiquities from castle
352,ORG,Operation Geryon, given to ,O, investigation into armed theft
353,ORG,Operation Geryon, was ,CARDINAL, name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle
354,ORG,Operation Geryon, was ,ORG, in objects name given to investigation from castle of Melfi
355,ORG,Operation Geryon, was ,O, name given to investigation into armed theft from castle
356,ORG,Operation Geryon, was ,CARDINAL, in objects name given to investigation into theft of eight antiquities from castle of Melfi
357,ORG,Operation Geryon, given to ,CARDINAL, investigation into armed theft of eight antiquities from castle of Melfi
358,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into theft from castle of Melfi
359,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into theft from castle
360,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri
361,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
362,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation into armed theft
363,ORG,Operation Geryon, was ,ORG, name given to investigation into armed theft of eight antiquities from castle of Melfi
364,ORG,Operation Geryon, was ,NORP, name given by Italian Carabinieri to investigation into armed theft from castle
365,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into theft
366,ORG,Carabinieri, were ,O, invited
367,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation from castle
368,PERSON,Camera, was killed while In ,O, August 1995
369,PERSON,Savoca, was ,NORP, Italian citizen
370,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into theft of eight antiquities from castle of Melfi
371,ORG,Operation Geryon, was ,ORG, in looted objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle of Melfi
372,ORG,Carabinieri, were invited ,O, participate
373,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into theft
374,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into theft of eight antiquities from castle of Melfi
375,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into armed theft of eight antiquities
376,ORG,Operation Geryon, was ,ORG, name given by Italian Carabinieri to investigation from castle
377,PERSON,Savoca, has ,O, business transactions
378,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation
379,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation from castle of Melfi
380,ORG,Operation Geryon, was ,ORG, in objects name given to investigation into theft from castle of Melfi
381,ORG,Operation Geryon, was ,CARDINAL, in looted objects name given by Italian Carabinieri to investigation into theft of eight antiquities
382,ORG,Operation Geryon, given to ,ORG, investigation into theft of eight antiquities from castle of Melfi
383,ORG,Operation Geryon, was ,ORG, in objects name given by Carabinieri to investigation into armed theft of eight antiquities from castle
384,ORG,Operation Geryon, was ,ORG, in objects name given by Italian Carabinieri to investigation into armed theft from castle of Melfi
385,ORG,Operation Geryon, was ,ORG, in looted objects name given by Italian Carabinieri to investigation into armed theft of eight antiquities
386,ORG,Operation Geryon, was ,CARDINAL, name given by Italian Carabinieri to investigation into theft of eight antiquities
387,ORG,Operation Geryon, was ,ORG, name given by Carabinieri to investigation into theft of eight antiquities from castle
388,ORG,Operation Geryon, given to ,O, investigation
389,ORG,Operation Geryon, was ,O, in objects name given to investigation
390,ORG,Operation Geryon, was name in ,O, objects
